lval,op,rval,Estimate,Std. Err,z-value,p-value,model_name
token_diff_ab,~,ability_diff,-0.0221,0.0011,-20.8233,0.0,主模型
token_diff_ab,~,verbosity_diff,0.5017,0.0015,332.2168,0.0,主模型
token_diff_ab,~,format_tendency_diff,-0.0266,0.0012,-21.744,0.0,主模型
token_diff_ab,~,user_tokens,-0.0199,0.0007,-28.1282,0.0,主模型
token_diff_ab,~,turns,0.0186,0.0007,26.5813,0.0,主模型
token_diff_ab,~,creative_writing_bool,0.0049,0.0027,1.7956,0.0725521,主模型
token_diff_ab,~,if_bool,-0.0029,0.0021,-1.3942,0.163262,主模型
token_diff_ab,~,math_bool,-0.0315,0.0028,-11.2704,0.0,主模型
token_diff_ab,~,code_bool,0.0003,0.0018,0.154,0.877594,主模型
token_diff_ab,~,complexity,0.0058,0.0017,3.3643,0.00076745,主模型
token_diff_ab,~,creativity,0.0018,0.0018,0.9896,0.322372,主模型
token_diff_ab,~,domain_knowledge,-0.0052,0.0022,-2.3531,0.018617,主模型
token_diff_ab,~,problem_solving,-0.013,0.002,-6.5087,7.57849e-11,主模型
token_diff_ab,~,real_world,0.0093,0.0019,4.8486,1.24307e-06,主模型
token_diff_ab,~,specificity,0.0049,0.002,2.429,0.015141,主模型
token_diff_ab,~,technical_accuracy,0.0042,0.002,2.1372,0.03258,主模型
header_density_diff,~,ability_diff,0.3502,0.005,70.1708,0.0,主模型
header_density_diff,~,verbosity_diff,-0.8057,0.011,-73.4175,0.0,主模型
header_density_diff,~,format_tendency_diff,0.6551,0.0058,113.5615,0.0,主模型
header_density_diff,~,user_tokens,-0.0022,0.0033,-0.6471,0.517599,主模型
header_density_diff,~,turns,0.0004,0.0033,0.1338,0.893595,主模型
header_density_diff,~,creative_writing_bool,-0.0094,0.0127,-0.7379,0.460598,主模型
header_density_diff,~,if_bool,0.0017,0.0098,0.173,0.862639,主模型
header_density_diff,~,math_bool,0.0015,0.0131,0.1136,0.90955,主模型
header_density_diff,~,code_bool,-0.0084,0.0083,-1.0126,0.311238,主模型
header_density_diff,~,complexity,0.0017,0.0081,0.2043,0.838127,主模型
header_density_diff,~,creativity,-0.0143,0.0083,-1.7091,0.087435,主模型
header_density_diff,~,domain_knowledge,-0.0023,0.0103,-0.2265,0.820779,主模型
header_density_diff,~,problem_solving,0.0176,0.0094,1.872,0.0612008,主模型
header_density_diff,~,real_world,-0.0,0.009,-0.0051,0.995892,主模型
header_density_diff,~,specificity,-0.0,0.0094,-0.0002,0.999822,主模型
header_density_diff,~,technical_accuracy,0.0127,0.0092,1.3845,0.16622,主模型
header_density_diff,~,token_diff_ab,-0.0052,0.0167,-0.3122,0.754897,主模型
bold_density_diff,~,ability_diff,0.1451,0.0045,31.8992,0.0,主模型
bold_density_diff,~,verbosity_diff,-0.4816,0.01,-48.1424,0.0,主模型
bold_density_diff,~,format_tendency_diff,0.8298,0.0053,157.8075,0.0,主模型
bold_density_diff,~,user_tokens,-0.0039,0.003,-1.2725,0.203179,主模型
bold_density_diff,~,turns,0.0021,0.003,0.7066,0.479813,主模型
bold_density_diff,~,creative_writing_bool,0.0007,0.0116,0.0623,0.950301,主模型
bold_density_diff,~,if_bool,-0.0013,0.0089,-0.1431,0.886183,主模型
bold_density_diff,~,math_bool,-0.0387,0.012,-3.233,0.00122489,主模型
bold_density_diff,~,code_bool,-0.0119,0.0075,-1.5822,0.113604,主模型
bold_density_diff,~,complexity,0.0055,0.0074,0.7374,0.460886,主模型
bold_density_diff,~,creativity,-0.0086,0.0076,-1.1342,0.256707,主模型
bold_density_diff,~,domain_knowledge,0.0105,0.0094,1.12,0.262705,主模型
bold_density_diff,~,problem_solving,-0.0037,0.0086,-0.4268,0.669528,主模型
bold_density_diff,~,real_world,0.0048,0.0082,0.5822,0.560464,主模型
bold_density_diff,~,specificity,0.0005,0.0086,0.0588,0.953087,主模型
bold_density_diff,~,technical_accuracy,0.0024,0.0084,0.2835,0.776806,主模型
bold_density_diff,~,token_diff_ab,-0.0177,0.0152,-1.1622,0.245159,主模型
winner_a,~,ability_diff,0.1554,0.0026,59.7989,0.0,主模型
winner_a,~,verbosity_diff,-0.2645,0.0058,-45.9474,0.0,主模型
winner_a,~,format_tendency_diff,-0.0235,0.0034,-6.8119,9.62941e-12,主模型
winner_a,~,user_tokens,0.0147,0.0017,8.7378,0.0,主模型
winner_a,~,turns,-0.0121,0.0017,-7.2833,3.25739e-13,主模型
winner_a,~,creative_writing_bool,-0.0108,0.0064,-1.6848,0.0920189,主模型
winner_a,~,if_bool,0.0002,0.0049,0.0327,0.973897,主模型
winner_a,~,math_bool,0.0284,0.0066,4.2849,1.82833e-05,主模型
winner_a,~,code_bool,0.0057,0.0042,1.3796,0.167699,主模型
winner_a,~,complexity,-0.0064,0.0041,-1.5664,0.117265,主模型
winner_a,~,creativity,0.001,0.0042,0.2479,0.804218,主模型
winner_a,~,domain_knowledge,-0.0084,0.0052,-1.6181,0.105641,主模型
winner_a,~,problem_solving,0.0006,0.0047,0.1329,0.894247,主模型
winner_a,~,real_world,-0.0173,0.0045,-3.8006,0.000144364,主模型
winner_a,~,specificity,0.002,0.0047,0.4261,0.670071,主模型
winner_a,~,technical_accuracy,-0.0048,0.0046,-1.0358,0.300281,主模型
winner_a,~,token_diff_ab,0.6147,0.0084,73.0409,0.0,主模型
winner_a,~,header_density_diff,0.0173,0.0018,9.4594,0.0,主模型
winner_a,~,bold_density_diff,0.0215,0.002,10.7389,0.0,主模型
header_density_diff,~~,bold_density_diff,0.1417,0.0027,52.0174,0.0,主模型
header_density_diff,~~,header_density_diff,0.8255,0.0042,198.7083,0.0,主模型
bold_density_diff,~~,bold_density_diff,0.6858,0.0035,198.7083,0.0,主模型
token_diff_ab,~~,token_diff_ab,0.0375,0.0002,198.7083,0.0,主模型
winner_a,~~,winner_a,0.2096,0.0011,198.7083,0.0,主模型
token_diff_ab,~,ability_diff,-0.0081,0.002,-4.0528,5.05992e-05,扩展模型
token_diff_ab,~,verbosity_diff,0.4748,0.0029,165.8594,0.0,扩展模型
token_diff_ab,~,format_tendency_diff,-0.0097,0.0023,-4.1659,3.10116e-05,扩展模型
token_diff_ab,~,user_tokens,-0.0168,0.0013,-12.5443,0.0,扩展模型
token_diff_ab,~,turns,0.0185,0.0013,13.9575,0.0,扩展模型
token_diff_ab,~,creative_writing_bool,0.0052,0.0051,1.0106,0.312229,扩展模型
token_diff_ab,~,if_bool,-0.0039,0.0039,-0.9968,0.31887,扩展模型
token_diff_ab,~,math_bool,-0.0284,0.0053,-5.3561,8.50501e-08,扩展模型
token_diff_ab,~,code_bool,0.0024,0.0033,0.724,0.469068,扩展模型
token_diff_ab,~,complexity,0.0048,0.0033,1.452,0.146503,扩展模型
token_diff_ab,~,creativity,0.0013,0.0034,0.3867,0.698994,扩展模型
token_diff_ab,~,domain_knowledge,-0.0046,0.0042,-1.105,0.269162,扩展模型
token_diff_ab,~,problem_solving,-0.013,0.0038,-3.4207,0.000624542,扩展模型
token_diff_ab,~,real_world,0.0086,0.0036,2.354,0.0185746,扩展模型
token_diff_ab,~,specificity,0.0054,0.0038,1.4229,0.154766,扩展模型
token_diff_ab,~,technical_accuracy,0.0017,0.0037,0.4464,0.655288,扩展模型
header_density_diff,~,ability_diff,0.3483,0.005,69.9646,0.0,扩展模型
header_density_diff,~,verbosity_diff,-0.7815,0.0082,-94.9711,0.0,扩展模型
header_density_diff,~,format_tendency_diff,0.6541,0.0058,113.7269,0.0,扩展模型
header_density_diff,~,user_tokens,-0.003,0.0033,-0.8981,0.369142,扩展模型
header_density_diff,~,turns,0.0013,0.0033,0.4038,0.686352,扩展模型
header_density_diff,~,creative_writing_bool,-0.0096,0.0127,-0.7517,0.452254,扩展模型
header_density_diff,~,if_bool,0.0019,0.0098,0.1977,0.843263,扩展模型
header_density_diff,~,math_bool,0.0022,0.0131,0.1698,0.865162,扩展模型
header_density_diff,~,code_bool,-0.0073,0.0083,-0.8807,0.378506,扩展模型
header_density_diff,~,complexity,0.0,0.0081,0.0005,0.999624,扩展模型
header_density_diff,~,creativity,-0.0137,0.0083,-1.6461,0.0997383,扩展模型
header_density_diff,~,domain_knowledge,-0.0039,0.0103,-0.378,0.705438,扩展模型
header_density_diff,~,problem_solving,0.0166,0.0094,1.7644,0.0776673,扩展模型
header_density_diff,~,real_world,0.0012,0.009,0.137,0.891069,扩展模型
header_density_diff,~,specificity,0.0009,0.0094,0.1003,0.920079,扩展模型
header_density_diff,~,technical_accuracy,0.0126,0.0092,1.3783,0.168117,扩展模型
header_density_diff,~,token_diff_ab,-0.0516,0.0088,-5.8556,4.75369e-09,扩展模型
bold_density_diff,~,ability_diff,0.1429,0.0045,31.4825,0.0,扩展模型
bold_density_diff,~,verbosity_diff,-0.464,0.0075,-61.8564,0.0,扩展模型
bold_density_diff,~,format_tendency_diff,0.8276,0.0052,157.8576,0.0,扩展模型
bold_density_diff,~,user_tokens,-0.0043,0.003,-1.4148,0.157128,扩展模型
bold_density_diff,~,turns,0.0027,0.003,0.9026,0.366758,扩展模型
bold_density_diff,~,creative_writing_bool,0.0011,0.0116,0.0917,0.926944,扩展模型
bold_density_diff,~,if_bool,-0.0011,0.0089,-0.125,0.900511,扩展模型
bold_density_diff,~,math_bool,-0.037,0.012,-3.0951,0.00196747,扩展模型
bold_density_diff,~,code_bool,-0.012,0.0075,-1.5958,0.110541,扩展模型
bold_density_diff,~,complexity,0.0051,0.0074,0.6914,0.489325,扩展模型
bold_density_diff,~,creativity,-0.0087,0.0076,-1.146,0.251784,扩展模型
bold_density_diff,~,domain_knowledge,0.0098,0.0094,1.0501,0.29366,扩展模型
bold_density_diff,~,problem_solving,-0.0038,0.0086,-0.4472,0.654721,扩展模型
bold_density_diff,~,real_world,0.0057,0.0082,0.6876,0.491697,扩展模型
bold_density_diff,~,specificity,0.0006,0.0086,0.0747,0.940489,扩展模型
bold_density_diff,~,technical_accuracy,0.0021,0.0084,0.2536,0.799796,扩展模型
bold_density_diff,~,token_diff_ab,-0.0466,0.008,-5.802,6.55403e-09,扩展模型
list_density_diff,~,ability_diff,-0.1293,0.0052,-24.7187,0.0,扩展模型
list_density_diff,~,verbosity_diff,-0.2196,0.0086,-25.3945,0.0,扩展模型
list_density_diff,~,format_tendency_diff,0.4717,0.006,78.0338,0.0,扩展模型
list_density_diff,~,user_tokens,-0.0118,0.0035,-3.3711,0.000748709,扩展模型
list_density_diff,~,turns,0.0051,0.0035,1.4901,0.136185,扩展模型
list_density_diff,~,creative_writing_bool,0.0162,0.0134,1.2156,0.224139,扩展模型
list_density_diff,~,if_bool,-0.005,0.0103,-0.4841,0.628335,扩展模型
list_density_diff,~,math_bool,-0.0239,0.0138,-1.7305,0.0835498,扩展模型
list_density_diff,~,code_bool,-0.0069,0.0087,-0.793,0.427795,扩展模型
list_density_diff,~,complexity,0.004,0.0085,0.4683,0.639574,扩展模型
list_density_diff,~,creativity,-0.0161,0.0088,-1.8349,0.0665253,扩展模型
list_density_diff,~,domain_knowledge,-0.0047,0.0108,-0.4313,0.66623,扩展模型
list_density_diff,~,problem_solving,0.004,0.0099,0.4045,0.685856,扩展模型
list_density_diff,~,real_world,-0.0085,0.0095,-0.8949,0.370847,扩展模型
list_density_diff,~,specificity,0.0235,0.0099,2.3874,0.0169673,扩展模型
list_density_diff,~,technical_accuracy,0.0085,0.0096,0.8874,0.374867,扩展模型
list_density_diff,~,token_diff_ab,-0.204,0.0093,-22.0277,0.0,扩展模型
winner_a,~,ability_diff,0.1638,0.0026,62.2458,0.0,扩展模型
winner_a,~,verbosity_diff,-0.1266,0.0045,-28.3265,0.0,扩展模型
winner_a,~,format_tendency_diff,-0.0146,0.0035,-4.1556,3.24455e-05,扩展模型
