effect,estimate,boot_mean,boot_std,ci_low,ci_high,successful_bootstrap_n,exclude_zero
长度直接效应,0.6147,0.4338,0.6083,-0.0506,2.0109,4818,False
标题密度直接效应,0.0173,0.0177,0.0103,0.0052,0.0395,4818,True
粗体密度直接效应,0.0215,0.0222,0.0117,0.0088,0.0445,4818,True
能力直接效应,0.1554,0.152,0.0219,0.1171,0.1955,4818,True
能力→长度→偏好,-0.0136,-0.0079,0.0173,-0.0556,0.0091,4818,False
能力→标题密度→偏好,0.006,0.0064,0.0049,0.0018,0.0136,4818,True
能力→粗体密度→偏好,0.0031,0.0034,0.0021,0.0013,0.0071,4818,True
能力总间接效应,-0.0044,0.0019,0.0189,-0.0466,0.0268,4818,False
能力总效应,0.151,0.1538,0.0115,0.1348,0.1724,4818,True
词冗性→长度→偏好,0.3084,0.2119,0.2988,-0.0235,0.9769,4818,False
格式倾向直接效应,-0.0235,-0.031,0.0355,-0.0954,0.0238,4818,False
格式倾向→标题密度→偏好,0.0113,0.0114,0.0079,0.0034,0.0267,4818,True
格式倾向→粗体密度→偏好,0.0179,0.0182,0.0113,0.0072,0.038,4818,True
格式倾向总间接效应,0.0292,0.0296,0.0165,0.0129,0.0599,4818,True
