效应,点估计,Bootstrap 均值,Bootstrap 标准差,95% 置信区间,成功重采样数,95% CI 排除 0
长度直接效应,0.615,0.434,0.608,"[-0.051, 2.011]","4,818",否
标题密度直接效应,0.017,0.018,0.010,"[0.005, 0.040]","4,818",是
粗体密度直接效应,0.022,0.022,0.012,"[0.009, 0.044]","4,818",是
能力直接效应,0.155,0.152,0.022,"[0.117, 0.196]","4,818",是
能力→长度→偏好,-0.014,-0.008,0.017,"[-0.056, 0.009]","4,818",否
能力→标题密度→偏好,0.006,0.006,0.005,"[0.002, 0.014]","4,818",是
能力→粗体密度→偏好,0.003,0.003,0.002,"[0.001, 0.007]","4,818",是
能力总间接效应,-0.004,0.002,0.019,"[-0.047, 0.027]","4,818",否
能力总效应,0.151,0.154,0.012,"[0.135, 0.172]","4,818",是
词冗性→长度→偏好,0.308,0.212,0.299,"[-0.024, 0.977]","4,818",否
格式倾向直接效应,-0.023,-0.031,0.036,"[-0.095, 0.024]","4,818",否
格式倾向→标题密度→偏好,0.011,0.011,0.008,"[0.003, 0.027]","4,818",是
格式倾向→粗体密度→偏好,0.018,0.018,0.011,"[0.007, 0.038]","4,818",是
格式倾向总间接效应,0.029,0.030,0.017,"[0.013, 0.060]","4,818",是
