模型,因变量,关系,自变量,估计值,标准误,p 值
主模型,回答长度差,回归,能力差,-0.022,0.001,<0.001
主模型,回答长度差,回归,冗长度差,0.502,0.002,<0.001
主模型,回答长度差,回归,格式倾向差,-0.027,0.001,<0.001
主模型,回答长度差,回归,用户输入长度,-0.020,0.001,<0.001
主模型,回答长度差,回归,对话轮数,0.019,0.001,<0.001
主模型,回答长度差,回归,创意写作任务,0.005,0.003,0.073
主模型,回答长度差,回归,指令遵循任务,-0.003,0.002,0.163
主模型,回答长度差,回归,数学任务,-0.032,0.003,<0.001
主模型,回答长度差,回归,代码任务,0.000,0.002,0.878
主模型,回答长度差,回归,complexity,0.006,0.002,<0.001
主模型,回答长度差,回归,creativity,0.002,0.002,0.322
主模型,回答长度差,回归,domain_knowledge,-0.005,0.002,0.019
主模型,回答长度差,回归,problem_solving,-0.013,0.002,<0.001
主模型,回答长度差,回归,real_world,0.009,0.002,<0.001
主模型,回答长度差,回归,specificity,0.005,0.002,0.015
主模型,回答长度差,回归,technical_accuracy,0.004,0.002,0.033
主模型,标题密度差,回归,能力差,0.350,0.005,<0.001
主模型,标题密度差,回归,冗长度差,-0.806,0.011,<0.001
主模型,标题密度差,回归,格式倾向差,0.655,0.006,<0.001
主模型,标题密度差,回归,用户输入长度,-0.002,0.003,0.518
主模型,标题密度差,回归,对话轮数,0.000,0.003,0.894
主模型,标题密度差,回归,创意写作任务,-0.009,0.013,0.461
主模型,标题密度差,回归,指令遵循任务,0.002,0.010,0.863
主模型,标题密度差,回归,数学任务,0.001,0.013,0.910
主模型,标题密度差,回归,代码任务,-0.008,0.008,0.311
主模型,标题密度差,回归,complexity,0.002,0.008,0.838
主模型,标题密度差,回归,creativity,-0.014,0.008,0.087
主模型,标题密度差,回归,domain_knowledge,-0.002,0.010,0.821
主模型,标题密度差,回归,problem_solving,0.018,0.009,0.061
主模型,标题密度差,回归,real_world,-0.000,0.009,0.996
主模型,标题密度差,回归,specificity,-0.000,0.009,1.000
