subset,n,path,estimate,ci_low,ci_high
full,78959,长度→标题→选择,0.00428908818318811,0.0014184174300422138,0.007163722097954735
full,78959,长度→列表→选择,-0.0017545984492142886,-0.004121907183523749,0.0005573924707804885
full,78959,长度→粗体→选择,0.007525155735872108,0.00462431001828121,0.010447262047676813
full,78959,三条乘积之和,0.010059645469845929,0.006118615975114011,0.014029473390863738
english,42001,长度→标题→选择,0.0019813379321640366,-0.0021249484850325044,0.006092991361786126
english,42001,长度→列表→选择,-0.0015675054070510904,-0.004601247883627604,0.001415265405079646
english,42001,长度→粗体→选择,0.009997137212947222,0.006324236131507046,0.013883262372245802
english,42001,三条乘积之和,0.010410969738060168,0.004984150024247247,0.01583844635021246
single_turn,67608,长度→标题→选择,0.0031739785066547785,0.0001424443389939079,0.006197556750507282
single_turn,67608,长度→列表→选择,-0.0015905452288019646,-0.004245557192487022,0.001035520800984545
single_turn,67608,长度→粗体→选择,0.007797838546917917,0.0047193506935573224,0.010955174747305686
single_turn,67608,三条乘积之和,0.009381271824770731,0.005082783917627759,0.013663004235936567
