subset,n,path,estimate,se,ci_low,ci_high,p_value,log_p_value,p_holm
full,78959,长度→标题,0.1541337112116623,0.004358214822214477,0.14559161016012193,0.16267581226320268,5.641664332388967e-274,-629.1781363639918,1.0719162231539037e-272
full,78959,长度→列表,0.13569700623677097,0.005320408504226118,0.12526900556848777,0.14612500690505417,1.7350206756029168e-143,-328.7186489680449,2.6025310134043753e-142
full,78959,长度→粗体,0.1390672713147277,0.006087955820909165,0.12713487790574574,0.15099966472370968,1.7147289360685516e-115,-264.2580306809587,2.2291476168891172e-114
full,78959,标题→选择,0.027827060994451563,0.009538380645261163,0.009131834929739683,0.04652228705916345,0.003529878083955904,-5.646491945756334,0.021179268503735423
full,78959,列表→选择,-0.012930266465516394,0.00877858781394873,-0.030136298580855904,0.004275765649823118,0.14076926308574308,-1.9606331610373777,0.5630770523429723
full,78959,粗体→选择,0.05411162284792143,0.010614236564772532,0.03330771918096727,0.0749155265148756,3.432190036179253e-07,-14.884897099018483,2.7457520289434025e-06
full,78959,长度→选择,0.48217165550719066,0.012489662089614058,0.4576919178115471,0.5066513932028343,0.0,-749.0783748758116,0.0
english,42001,长度→标题,0.16021592035789478,0.005652370921764932,0.1491372733512355,0.17129456736455406,9.672090016307098e-177,-405.2883170397817,1.6442553027722067e-175
english,42001,长度→列表,0.12748205124677767,0.007426110618730999,0.1129268744340649,0.14203722805949043,4.7121375004341054e-66,-150.42047451077693,5.183351250477516e-65
english,42001,长度→粗体,0.12756216688436345,0.00864885121368646,0.11061041850553799,0.1445139152631889,3.121179932696411e-49,-111.68845844282421,3.121179932696411e-48
english,42001,标题→选择,0.012366673222848696,0.013107990619577549,-0.0133249883915233,0.038058334837220695,0.3454531395145415,-1.0628982759006393,0.7132205339268459
english,42001,列表→选择,-0.012295891003642066,0.011984230583814117,-0.03578498294791774,0.011193200940633603,0.3048888141432603,-1.187808112629555,0.7132205339268459
english,42001,粗体→选择,0.07837070706089322,0.014670456923304992,0.049616611491215434,0.107124802630571,9.188772452075002e-08,-16.202698390818362,8.269895206867501e-07
english,42001,长度→选择,0.460381634957777,0.016933554762861396,0.42719186762256867,0.49357140229298535,9.119423081478803e-163,-373.1109636145542,1.4591076930366085e-161
single_turn,67608,长度→标题,0.1505068615448638,0.004666506702977558,0.1413605084070278,0.15965321468269983,3.237260267618857e-228,-523.8146738269721,5.827068481713943e-227
single_turn,67608,长度→列表,0.14156022179976427,0.005635450715046757,0.13051473839827263,0.1526057052012559,3.03849640807797e-139,-318.94796513571737,4.253894971309158e-138
single_turn,67608,长度→粗体,0.13819177441207683,0.0062183487221105435,0.12600381091674018,0.1503797379074135,2.0481252176451522e-109,-250.26485028961514,2.4577502611741825e-108
single_turn,67608,标题→选择,0.021088596719616427,0.010220693549440921,0.0010560373627122206,0.04112115607652063,0.039081907122668,-3.2420956525205744,0.19540953561334
single_turn,67608,列表→选择,-0.011235820406185697,0.009516606748014883,-0.029888369632294867,0.007416728819923474,0.2377401779756153,-1.436576890815421,0.7132205339268459
single_turn,67608,粗体→选择,0.05642766061940405,0.011416781897315802,0.03405076810066508,0.07880455313814302,7.711961550360201e-07,-14.075323079352337,5.398373085252141e-06
single_turn,67608,长度→选择,0.49688313524259803,0.013539295958041174,0.4703461151648373,0.5234201553203587,7.484082469886892e-295,-677.2498240053988,1.4968164939773783e-293
