model,scheme,n,feature,beta,se,odds_ratio,ci_low,ci_high,p_value,log_p_value,p_holm
full,HC0,78959,log_token_ratio,0.48217165550719066,0.012489662089614051,1.619587772602765,1.5804227390810661,1.65972336913449,0.0,-749.0783748758126,0.0
full,HC0,78959,header_density_diff,0.027827060994451563,0.009538380645261172,1.028217850072142,1.0091740040231632,1.0476210673206279,0.003529878083955904,-5.646491945756326,0.021179268503735423
full,HC0,78959,list_density_diff,-0.012930266465516394,0.008778587813948718,0.9871529702858906,0.9703135789922341,1.0042846022585195,0.14076926308574308,-1.9606331610373808,0.5630770523429723
full,HC0,78959,bold_density_diff,0.05411162284792143,0.010614236564772537,1.0556024249280442,1.0338690267296378,1.0777926900844876,3.432190036179253e-07,-14.884897099018465,2.7457520289434025e-06
full,prompt_first,78959,log_token_ratio,0.48217165550719066,0.01267826425683956,1.619587772602765,1.5798380119575517,1.660337663298903,0.0,-inf,0.0
full,prompt_first,78959,header_density_diff,0.027827060994451563,0.009569047885389556,1.028217850072142,1.0091130457727724,1.0476843517540257,0.003638209633962328,-5.616263577137265,0.02182925780377397
full,prompt_first,78959,list_density_diff,-0.012930266465516394,0.00879043840419585,0.9871529702858906,0.9702907753165354,1.004308204853702,0.14130967635962566,-1.9568015106765273,0.5652387054385026
full,prompt_first,78959,bold_density_diff,0.05411162284792143,0.010618854283151518,1.0556024249280442,1.033859326362346,1.0778028026643054,3.480913810329212e-07,-14.870800802467379,2.7847310482633694e-06
full,prompt_sequence,78959,log_token_ratio,0.48217165550719066,0.012684168714355865,1.619587772602765,1.5798197319443097,1.6603568749810067,0.0,-inf,0.0
full,prompt_sequence,78959,header_density_diff,0.027827060994451563,0.009567317677885554,1.028217850072142,1.009116469271734,1.0476807974107964,0.003632091734174691,-5.61794656135536,0.02179255040504815
full,prompt_sequence,78959,list_density_diff,-0.012930266465516394,0.008795846927352547,0.9871529702858906,0.9702804908584856,1.0043188499874536,0.14155444401506137,-1.9550708725439594,0.5662177760602455
full,prompt_sequence,78959,bold_density_diff,0.05411162284792143,0.010615965188054275,1.0556024249280442,1.03386518230462,1.0777966978538298,3.455489605605514e-07,-14.878131494486022,2.764391684484411e-06
full,model_pair,78959,log_token_ratio,0.48217165550719066,0.013810097596321104,1.619587772602765,1.5762948057451884,1.6640697816195238,6.856223377170713e-185,-424.05308544186613,8.227468052604855e-184
full,model_pair,78959,header_density_diff,0.027827060994451563,0.009795245956830654,1.028217850072142,1.008646515359454,1.0481689383819557,0.0045750513201924725,-5.387137362789159,0.027450307921154833
full,model_pair,78959,list_density_diff,-0.012930266465516394,0.009221815243535844,0.9871529702858906,0.969453332744096,1.0051757560995305,0.16113237450066628,-1.8255290499529773,0.6445294980026651
full,model_pair,78959,bold_density_diff,0.05411162284792143,0.011088114966885996,1.0556024249280442,1.032886567287522,1.0788178632627945,1.2027761356046872e-06,-13.63087822672999,9.622209084837497e-06
english,HC0,42001,log_token_ratio,0.4616059332622232,0.016978586364494123,1.586619945871261,1.5346901676390794,1.6403068878125138,9.119423081497488e-163,-373.11096361455185,9.119423081497487e-162
english,HC0,42001,header_density_diff,0.010692535462482167,0.011333497054224574,1.0107499049124236,0.9885453986846829,1.0334531642550682,0.3454531395145314,-1.0628982759006687,0.7132205339269505
english,HC0,42001,list_density_diff,-0.010624962894663496,0.01035565500998609,0.9894312826450841,0.9695515114355352,1.0097186704677603,0.30488881414323166,-1.1878081126296496,0.7132205339269505
english,HC0,42001,bold_density_diff,0.06777002904081209,0.012686082964159757,1.0701191838439459,1.0438395222509447,1.097060461134304,9.188772452072384e-08,-16.20269839081865,8.269895206865146e-07
english,prompt_first,42001,log_token_ratio,0.4616059332622232,0.017337511681104617,1.586619945871261,1.5336093592740339,1.641462891063843,7.693008857964922e-155,-354.8603774381691,7.693008857964922e-154
english,prompt_first,42001,header_density_diff,0.010692535462482167,0.011377690776761892,1.0107499049124236,0.9884591153089071,1.0335433751968635,0.34733562885652913,-1.0574637363668473,0.7162105838232808
english,prompt_first,42001,list_density_diff,-0.010624962894663496,0.01038344852834525,0.9894312826450841,0.9694981054331464,1.0097742920697261,0.30619127633060655,-1.1835452862669302,0.7162105838232808
english,prompt_first,42001,bold_density_diff,0.06777002904081209,0.012705560971198697,1.0701191838439459,1.0437988935401992,1.0971031629923167,9.664887907395544e-08,-16.152181229145615,8.69839911665599e-07
english,prompt_sequence,42001,log_token_ratio,0.4616059332622232,0.017337847840094536,1.586619945871261,1.5336083537536058,1.6414639672998093,7.722928786270803e-155,-354.8564957455255,7.722928786270804e-154
english,prompt_sequence,42001,header_density_diff,0.010692535462482167,0.011377695396666228,1.0107499049124236,0.9884591084488616,1.0335433823698,0.34733580684612464,-1.0574632239243131,0.7162105838232808
english,prompt_sequence,42001,list_density_diff,-0.010624962894663496,0.010377149503237024,0.9894312826450841,0.9695100770263813,1.0097618232905252,0.30589775462241947,-1.1845043680862188,0.7162105838232808
english,prompt_sequence,42001,bold_density_diff,0.06777002904081209,0.01269922461211184,1.0701191838439459,1.0438118594491956,1.097089535115183,9.524097352342603e-08,-16.166855593588455,8.571687617108343e-07
english,model_pair,42001,log_token_ratio,0.4616059332622232,0.018734728228379297,1.586619945871261,1.5293601364014138,1.6460235837975228,8.636548864169708e-109,-248.82577207034862,8.636548864169709e-108
english,model_pair,42001,header_density_diff,0.010692535462482167,0.01148960558261653,1.0107499049124236,0.9882204951428002,1.0337929392294658,0.35223395275279423,-1.043459685656135,0.8006801498799061
english,model_pair,42001,list_density_diff,-0.010624962894663496,0.010903620077660605,0.9894312826450841,0.9684898655710606,1.0108255108064075,0.33003287479316257,-1.108563008898071,0.8006801498799061
english,model_pair,42001,bold_density_diff,0.06777002904081209,0.013446211955036983,1.0701191838439459,1.0422577854220814,1.0987253668410657,5.368641552441223e-07,-14.437520744190028,4.8317773971971005e-06
single_turn,HC0,67608,log_token_ratio,0.4887829242153914,0.013318577751603425,1.630330775874286,1.588323395256305,1.6734491519177919,7.484082469933721e-295,-677.249824005393,8.232490716927093e-294
