model,scheme,n,clusters,singleton_clusters,max_cluster,median_cluster,df
full,prompt_first,78959,75862,73826,10,1.0,75861
full,prompt_sequence,78959,76213,74374,7,1.0,76212
full,model_pair,78959,1201,2,267,60.0,1200
english,prompt_first,42001,40355,39275,9,1.0,40354
english,prompt_sequence,42001,40483,39487,7,1.0,40482
english,model_pair,42001,1200,13,140,30.5,1199
single_turn,prompt_first,67608,64882,63057,7,1.0,64881
single_turn,prompt_sequence,67608,64882,63057,7,1.0,64881
single_turn,model_pair,67608,1200,2,226,51.0,1199
month,prompt_first,78959,75862,73826,10,1.0,75861
month,prompt_sequence,78959,76213,74374,7,1.0,76212
month,model_pair,78959,1201,2,267,60.0,1200
alternative_format,prompt_first,78959,75862,73826,10,1.0,75861
alternative_format,prompt_sequence,78959,76213,74374,7,1.0,76212
alternative_format,model_pair,78959,1201,2,267,60.0,1200
format_presence,prompt_first,78959,75862,73826,10,1.0,75861
format_presence,prompt_sequence,78959,76213,74374,7,1.0,76212
format_presence,model_pair,78959,1201,2,267,60.0,1200
trim_1_99,prompt_first,77379,74442,72496,10,1.0,74441
trim_1_99,prompt_sequence,77379,74776,73019,7,1.0,74775
trim_1_99,model_pair,77379,1201,2,263,58.0,1200
spline_format,prompt_first,78959,75862,73826,10,1.0,75861
spline_format,prompt_sequence,78959,76213,74374,7,1.0,76212
spline_format,model_pair,78959,1201,2,267,60.0,1200
decisive_stage,prompt_first,108154,102457,99051,10,1.0,102456
decisive_stage,prompt_sequence,108154,103018,99917,7,1.0,103017
decisive_stage,model_pair,108154,1204,3,346,82.0,1203
