month,model,appearances
2025-04,chatgpt-4o-latest-20250326,1039
2025-04,claude-3-5-haiku-20241022,542
2025-04,claude-3-5-sonnet-20241022,926
2025-04,claude-3-7-sonnet-20250219,611
2025-04,deepseek-v3-0324,265
2025-04,gemini-2.0-flash-001,1298
2025-04,gemini-2.0-flash-thinking-exp-01-21,309
2025-04,gemini-2.5-flash-preview-04-17,495
2025-04,gemini-2.5-pro-preview-03-25,814
2025-04,gemma-3-27b-it,571
2025-04,gpt-4.1-2025-04-14,707
2025-04,gpt-4.1-mini-2025-04-14,276
2025-04,gpt-4o-2024-11-20,465
2025-04,gpt-4o-mini-2024-07-18,472
2025-04,grok-3-mini-beta,413
2025-04,grok-3-preview-02-24,727
2025-04,llama-3.3-70b-instruct,667
2025-04,llama-4-maverick-17b-128e-instruct,569
2025-04,o3-2025-04-16,543
2025-04,o3-mini,717
2025-04,o4-mini-2025-04-16,574
2025-04,qwen-max-2025-01-25,479
2025-04,qwen3-235b-a22b,32
2025-04,qwen3-30b-a3b,37
2025-04,qwq-32b,482
2025-05,amazon.nova-pro-v1:0,1639
2025-05,chatgpt-4o-latest-20250326,1799
2025-05,claude-3-5-haiku-20241022,1365
2025-05,claude-3-5-sonnet-20241022,1493
2025-05,claude-3-7-sonnet-20250219,1346
2025-05,claude-3-7-sonnet-20250219-thinking-32k,1540
2025-05,claude-opus-4-20250514,2399
2025-05,claude-sonnet-4-20250514,1997
2025-05,command-a-03-2025,1527
2025-05,deepseek-r1-0528,561
2025-05,deepseek-v3-0324,1384
2025-05,gemini-2.0-flash-001,1686
2025-05,gemini-2.5-flash,1447
2025-05,gemini-2.5-flash-preview-04-17,1555
2025-05,gemini-2.5-pro,1093
2025-05,gemini-2.5-pro-preview-03-25,314
2025-05,gemini-2.5-pro-preview-05-06,1097
2025-05,gemma-3-27b-it,1351
2025-05,gpt-4.1-2025-04-14,1249
2025-05,gpt-4.1-mini-2025-04-14,1334
2025-05,grok-3-mini-beta,1302
2025-05,grok-3-preview-02-24,1172
2025-05,llama-3.3-70b-instruct,1323
2025-05,llama-4-maverick-03-26-experimental,1326
2025-05,llama-4-maverick-17b-128e-instruct,1274
2025-05,mistral-medium-2505,1495
2025-05,o3-2025-04-16,1307
2025-05,o3-mini,1333
2025-05,o4-mini-2025-04-16,1360
2025-05,qwen-max-2025-01-25,1262
2025-05,qwen3-235b-a22b,1186
2025-05,qwen3-235b-a22b-no-thinking,392
2025-05,qwen3-30b-a3b,1268
2025-05,qwq-32b,1196
2025-06,amazon-nova-experimental-chat-05-14,1104
2025-06,amazon.nova-pro-v1:0,2035
2025-06,chatgpt-4o-latest-20250326,1802
2025-06,claude-3-5-haiku-20241022,1761
2025-06,claude-3-5-sonnet-20241022,1560
2025-06,claude-3-7-sonnet-20250219,1904
2025-06,claude-3-7-sonnet-20250219-thinking-32k,2660
2025-06,claude-opus-4-20250514,4283
2025-06,claude-opus-4-20250514-thinking-16k,3357
2025-06,claude-sonnet-4-20250514,3123
2025-06,claude-sonnet-4-20250514-thinking-32k,2925
2025-06,command-a-03-2025,2576
2025-06,deepseek-r1-0528,3397
2025-06,deepseek-v3-0324,1808
2025-06,gemini-2.0-flash-001,1094
2025-06,gemini-2.5-flash,3557
2025-06,gemini-2.5-flash-lite-preview-06-17-thinking,2774
2025-06,gemini-2.5-flash-preview-04-17,1149
2025-06,gemini-2.5-pro,3523
2025-06,gemini-2.5-pro-preview-03-25,1
2025-06,gemini-2.5-pro-preview-05-06,1521
2025-06,gemma-3-27b-it,2559
2025-06,gemma-3n-e4b-it,697
2025-06,gpt-4.1-2025-04-14,1751
2025-06,gpt-4.1-mini-2025-04-14,1832
2025-06,grok-3-mini-beta,1572
2025-06,grok-3-preview-02-24,1546
2025-06,hunyuan-turbos-20250416,750
2025-06,llama-3.3-70b-instruct,1119
2025-06,llama-4-maverick-03-26-experimental,1828
2025-06,llama-4-maverick-17b-128e-instruct,964
2025-06,llama-4-scout-17b-16e-instruct,697
2025-06,magistral-medium-2506,995
2025-06,minimax-m1,1818
2025-06,mistral-medium-2505,3464
2025-06,mistral-small-3.1-24b-instruct-2503,1033
2025-06,o3-2025-04-16,2204
2025-06,o3-mini,1775
2025-06,o4-mini-2025-04-16,1761
2025-06,qwen-max-2025-01-25,1045
2025-06,qwen3-235b-a22b,1530
2025-06,qwen3-235b-a22b-no-thinking,4251
2025-06,qwen3-30b-a3b,1659
2025-06,qwq-32b,958
2025-07,amazon-nova-experimental-chat-05-14,1467
2025-07,amazon.nova-pro-v1:0,1445
2025-07,chatgpt-4o-latest-20250326,1536
2025-07,claude-3-5-haiku-20241022,1468
2025-07,claude-3-5-sonnet-20241022,1528
2025-07,claude-3-7-sonnet-20250219,1659
2025-07,claude-3-7-sonnet-20250219-thinking-32k,1590
2025-07,claude-opus-4-20250514,1493
2025-07,claude-opus-4-20250514-thinking-16k,1531
2025-07,claude-sonnet-4-20250514,1542
2025-07,claude-sonnet-4-20250514-thinking-32k,1558
2025-07,command-a-03-2025,1446
2025-07,deepseek-r1-0528,1201
2025-07,deepseek-v3-0324,1442
2025-07,gemini-2.0-flash-001,812
2025-07,gemini-2.5-flash,2692
2025-07,gemini-2.5-flash-lite-preview-06-17-thinking,1435
2025-07,gemini-2.5-flash-preview-04-17,830
2025-07,gemini-2.5-pro,2728
2025-07,gemini-2.5-pro-preview-05-06,1
2025-07,gemma-3-27b-it,1357
2025-07,gemma-3n-e4b-it,1364
2025-07,gpt-4.1-2025-04-14,1456
2025-07,gpt-4.1-mini-2025-04-14,1477
2025-07,grok-3-mini-beta,1489
2025-07,grok-3-mini-high,2203
