model,scheme,path,estimate,se,ci_low,ci_high,p_value,p_holm
full,HC0,length_to_header_density_diff,0.1541337112116623,0.004358214822214477,0.1455917671232333,0.16267565530009132,5.641664332408223e-274,1.0719162231575625e-272
full,HC0,length_to_list_density_diff,0.13569700623677097,0.005320408504226118,0.12526919718544716,0.1461248152880948,1.7350206756060772e-143,2.6025310134091158e-142
full,HC0,length_to_bold_density_diff,0.1390672713147277,0.006087955820909165,0.12713509716627477,0.15099944546318064,1.7147289360705041e-115,2.2291476168916556e-114
full,HC0,header_density_diff_to_choice,0.027827060994451563,0.009538380645261163,0.009132178458905762,0.04652194352999736,0.0035298780839558724,0.021179268503735235
full,HC0,list_density_diff_to_choice,-0.012930266465516394,0.00877858781394873,-0.03013598241597811,0.004275449484945322,0.14076926308574358,0.5630770523429743
full,HC0,bold_density_diff_to_choice,0.05411162284792143,0.010614236564772532,0.03330810145757913,0.07491514423826373,3.432190036179197e-07,2.7457520289433576e-06
full,HC0,log_token_ratio_to_choice,0.48217165550719066,0.012489662089614058,0.45769236763247184,0.5066509433819095,0.0,0.0
full,prompt_first,length_to_header_density_diff,0.1541337112116623,0.004385579929570931,0.14553799535349465,0.16272942706982996,1.9805466234711182e-268,3.7630385845951244e-267
full,prompt_first,length_to_list_density_diff,0.13569700623677097,0.005404684978938088,0.12510384931615276,0.14629016315738919,1.5290061152164048e-138,2.2935091728246073e-137
full,prompt_first,length_to_bold_density_diff,0.1390672713147277,0.006128817428638213,0.12705481822775044,0.15107972440170497,1.3246268950316465e-113,1.7220149635411405e-112
full,prompt_first,header_density_diff_to_choice,0.027827060994451563,0.009569047885389549,0.009071772531596887,0.046582349457306244,0.003638209633962295,0.021829257803773768
full,prompt_first,list_density_diff_to_choice,-0.012930266465516394,0.008790438404195853,-0.03015948403870628,0.004298951107673496,0.14130967635962585,0.5652387054385034
full,prompt_first,bold_density_diff_to_choice,0.05411162284792143,0.010618854283151522,0.033298718825399753,0.07492452687044311,3.4809138103292493e-07,2.7847310482633995e-06
full,prompt_first,log_token_ratio_to_choice,0.48217165550719066,0.012678264256839562,0.457322317705424,0.5070209933089573,0.0,0.0
full,prompt_sequence,length_to_header_density_diff,0.1541337112116623,0.004383505093481541,0.14554206265372943,0.16272535976959518,1.0884331871450872e-268,2.0680230555756657e-267
full,prompt_sequence,length_to_list_density_diff,0.13569700623677097,0.005397294026888255,0.12511833632446476,0.1462756761490772,6.443976233983486e-139,9.665964350975229e-138
full,prompt_sequence,length_to_bold_density_diff,0.1390672713147277,0.0061227165042408984,0.12706677689246323,0.15106776573699218,7.915980942813216e-114,1.0290775225657181e-112
full,prompt_sequence,header_density_diff_to_choice,0.027827060994451563,0.009567317677885549,0.009075165108046741,0.046578956880856386,0.0036320917341746695,0.021792550405048017
full,prompt_sequence,list_density_diff_to_choice,-0.012930266465516394,0.008795846927352536,-0.030170083451599924,0.004309550520567135,0.14155444401506093,0.5662177760602437
full,prompt_sequence,bold_density_diff_to_choice,0.05411162284792143,0.010615965188054268,0.03330438296706828,0.07491886272877459,3.4554896056054566e-07,2.7643916844843653e-06
full,prompt_sequence,log_token_ratio_to_choice,0.48217165550719066,0.012684168714355877,0.4573107468235603,0.507032564190821,0.0,0.0
full,model_pair,length_to_header_density_diff,0.1541337112116623,0.008343606946708864,0.1377640313129693,0.1705033911103553,2.9600670379724927e-67,5.328120668350487e-66
full,model_pair,length_to_list_density_diff,0.13569700623677097,0.007689448731779421,0.12061074736328808,0.15078326511025386,3.8115070111429008e-62,6.098411217828641e-61
full,model_pair,length_to_bold_density_diff,0.1390672713147277,0.008269945416917387,0.12284211112690269,0.15529243150255273,3.834783196958361e-57,4.601739836350033e-56
full,model_pair,header_density_diff_to_choice,0.027827060994451563,0.009795245956830647,0.008609348335356003,0.047044773653547124,0.004575051320192436,0.027450307921154618
full,model_pair,list_density_diff_to_choice,-0.012930266465516394,0.009221815243535847,-0.031022940843126547,0.005162407912093757,0.16113237450066642,0.6445294980026657
full,model_pair,bold_density_diff_to_choice,0.05411162284792143,0.011088114966885998,0.0323573750930668,0.07586587060277607,1.202776135604701e-06,9.622209084837607e-06
full,model_pair,log_token_ratio_to_choice,0.48217165550719066,0.013810097596321118,0.4550770334252314,0.5092662775891499,6.856223377175003e-185,1.4398069092067506e-183
english,HC0,length_to_header_density_diff,0.18579381236890333,0.006554751488690578,0.1729467355234595,0.19864088921434717,9.672090016311506e-177,1.644255302772956e-175
english,HC0,length_to_list_density_diff,0.14792276530512827,0.008616827290125965,0.1310340941554795,0.16481143645477703,4.7121375004371943e-66,5.1833512504809135e-65
english,HC0,length_to_bold_density_diff,0.14790790058024758,0.010028313697484715,0.12825276690750784,0.16756303425298733,3.1211799326960547e-49,3.1211799326960546e-48
english,HC0,header_density_diff_to_choice,0.010692535462482167,0.01133349705422458,-0.011520710582688803,0.03290578150765314,0.3454531395145316,0.7132205339269508
english,HC0,list_density_diff_to_choice,-0.010624962894663496,0.010355655009986095,-0.030921673750558015,0.009671747961231025,0.304888814143232,0.7132205339269508
english,HC0,bold_density_diff_to_choice,0.06777002904081209,0.012686082964159776,0.04290576332617179,0.09263429475545237,9.188772452072757e-08,8.269895206865481e-07
english,HC0,log_token_ratio_to_choice,0.4616059332622232,0.016978586364494123,0.42832851547941186,0.49488335104503456,9.119423081497488e-163,1.459107693039598e-161
english,prompt_first,length_to_header_density_diff,0.18579381236890333,0.006587620433003432,0.17288192630169752,0.19870569843610913,2.56362438188879e-173,4.358161449210943e-172
english,prompt_first,length_to_list_density_diff,0.14792276530512827,0.008707983360989146,0.13085491961248358,0.16499061099777296,1.717986226490014e-64,1.8897848491390152e-63
english,prompt_first,length_to_bold_density_diff,0.14790790058024758,0.0101269957182887,0.12805875835242053,0.16775704280807463,3.449714351003952e-48,3.449714351003952e-47
english,prompt_first,header_density_diff_to_choice,0.010692535462482167,0.011377690776761885,-0.011607997561772498,0.03299306848673683,0.3473356288565286,0.7162105838232798
english,prompt_first,list_density_diff_to_choice,-0.010624962894663496,0.01038344852834525,-0.030976758470348247,0.009726832681021256,0.30619127633060655,0.7162105838232798
english,prompt_first,bold_density_diff_to_choice,0.06777002904081209,0.01270556097119871,0.04286684019614765,0.09267321788547653,9.664887907395806e-08,8.698399116656226e-07
english,prompt_first,log_token_ratio_to_choice,0.4616059332622232,0.017337511681104614,0.4276240155436867,0.49558785098075975,7.693008857964922e-155,1.2308814172743875e-153
english,prompt_sequence,length_to_header_density_diff,0.18579381236890333,0.006581500385629655,0.17289392295734257,0.19869370178046408,1.2246690033725007e-173,2.0819373057332512e-172
english,prompt_sequence,length_to_list_density_diff,0.14792276530512827,0.008712816970227358,0.13084544724790992,0.16500008336234662,2.0117009835082404e-64,2.2128710818590644e-63
english,prompt_sequence,length_to_bold_density_diff,0.14790790058024758,0.010111215859964068,0.12808968911364185,0.1677261120468533,2.4705596454820233e-48,2.4705596454820235e-47
english,prompt_sequence,header_density_diff_to_choice,0.010692535462482167,0.011377695396666242,-0.011608004501913328,0.03299307542687766,0.347335806846125,0.7162105838232798
english,prompt_sequence,list_density_diff_to_choice,-0.010624962894663496,0.010377149503237018,-0.030964410308702263,0.009714484519375273,0.3058977546224192,0.7162105838232798
english,prompt_sequence,bold_density_diff_to_choice,0.06777002904081209,0.012699224612111844,0.04287926196488783,0.09266079611673633,9.524097352342689e-08,8.57168761710842e-07
english,prompt_sequence,log_token_ratio_to_choice,0.4616059332622232,0.017337847840094536,0.4276233598873088,0.4955885066371376,7.722928786270803e-155,1.2356686058033285e-153
english,model_pair,length_to_header_density_diff,0.18579381236890333,0.010565314422506489,0.16506525194368027,0.20652237279412639,9.203553378639696e-62,1.2884974730095573e-60
english,model_pair,length_to_list_density_diff,0.14792276530512827,0.011111449942604896,0.1261227173049964,0.16972281330526012,8.177310333438894e-38,8.995041366782784e-37
english,model_pair,length_to_bold_density_diff,0.14790790058024758,0.012477739644171652,0.12342726802723616,0.172388533133259,9.926383734257306e-31,9.926383734257306e-30
english,model_pair,header_density_diff_to_choice,0.010692535462482167,0.011489605582616521,-0.011849432912250366,0.0332345038372147,0.3522339527527938,0.8006801498799057
english,model_pair,list_density_diff_to_choice,-0.010624962894663496,0.010903620077660605,-0.032017260236236,0.010767334446909008,0.33003287479316257,0.8006801498799057
english,model_pair,bold_density_diff_to_choice,0.06777002904081209,0.013446211955036992,0.041389307572967875,0.09415075050865629,5.3686415524413e-07,4.83177739719717e-06
english,model_pair,log_token_ratio_to_choice,0.4616059332622232,0.0187347282283793,0.4248494364271803,0.4983624300972661,8.63654886417045e-109,1.6409442841923855e-107
single_turn,HC0,length_to_header_density_diff,0.149278276368348,0.004628414081136004,0.1402067514637834,0.15834980127291262,3.2372602676247517e-228,5.827068481724553e-227
single_turn,HC0,length_to_list_density_diff,0.1416790951420187,0.005640183010977728,0.13062453957428768,0.15273365070974973,3.038496408081085e-139,4.253894971313519e-138
single_turn,HC0,length_to_bold_density_diff,0.13741841042839267,0.006183548916115376,0.12529887725616484,0.1495379436006205,2.0481252176444514e-109,2.457750261173342e-108
single_turn,HC0,header_density_diff_to_choice,0.020915542726420596,0.010136822068778844,0.0010477365539232585,0.04078334889891794,0.03908190712266973,0.19540953561334864
single_turn,HC0,list_density_diff_to_choice,-0.011043380027163917,0.00935361202725794,-0.02937612272595016,0.007289362671622326,0.23774017797565028,0.7132205339269508
single_turn,HC0,bold_density_diff_to_choice,0.05582016129643948,0.01129386899968863,0.03368458481093635,0.0779557377819426,7.711961550360003e-07,5.398373085252002e-06
single_turn,HC0,log_token_ratio_to_choice,0.4887829242153914,0.013318577751603432,0.4626789914969522,0.5148868569338305,7.484082469940532e-295,1.4968164939881062e-293
single_turn,prompt_first,length_to_header_density_diff,0.149278276368348,0.004656459680180211,0.14015161284052033,0.15840493989617568,9.507535204992646e-224,1.7113563368986763e-222
single_turn,prompt_first,length_to_list_density_diff,0.1416790951420187,0.005728205712016205,0.13045180880380022,0.1529063814802372,1.9606486271774536e-134,2.744908078048435e-133
single_turn,prompt_first,length_to_bold_density_diff,0.13741841042839267,0.006224887850609575,0.12521762682603635,0.149619194030749,1.3519617940559597e-107,1.6223541528671518e-106
single_turn,prompt_first,header_density_diff_to_choice,0.020915542726420596,0.010170117562480534,0.0009821067243249888,0.0408489787285162,0.03973174721179904,0.1986587360589952
single_turn,prompt_first,list_density_diff_to_choice,-0.011043380027163917,0.009373407100375852,-0.02941526308643492,0.007328503032107086,0.23873686127442661,0.7162105838232798
single_turn,prompt_first,bold_density_diff_to_choice,0.05582016129643948,0.01129641875293056,0.033679174343138954,0.07796114824974,7.77550174717456e-07,5.442851223022192e-06
single_turn,prompt_first,log_token_ratio_to_choice,0.4887829242153914,0.013550431717754987,0.4622240706144154,0.5153417778163674,4.021700568185445e-282,8.04340113637089e-281
single_turn,prompt_sequence,length_to_header_density_diff,0.149278276368348,0.004656459680180211,0.14015161284052033,0.15840493989617568,9.507535204992646e-224,1.7113563368986763e-222
single_turn,prompt_sequence,length_to_list_density_diff,0.1416790951420187,0.005728205712016205,0.13045180880380022,0.1529063814802372,1.9606486271774536e-134,2.744908078048435e-133
single_turn,prompt_sequence,length_to_bold_density_diff,0.13741841042839267,0.006224887850609575,0.12521762682603635,0.149619194030749,1.3519617940559597e-107,1.6223541528671518e-106
single_turn,prompt_sequence,header_density_diff_to_choice,0.020915542726420596,0.010170117562480534,0.0009821067243249888,0.0408489787285162,0.03973174721179904,0.1986587360589952
single_turn,prompt_sequence,list_density_diff_to_choice,-0.011043380027163917,0.009373407100375852,-0.02941526308643492,0.007328503032107086,0.23873686127442661,0.7162105838232798
single_turn,prompt_sequence,bold_density_diff_to_choice,0.05582016129643948,0.01129641875293056,0.033679174343138954,0.07796114824974,7.77550174717456e-07,5.442851223022192e-06
single_turn,prompt_sequence,log_token_ratio_to_choice,0.4887829242153914,0.013550431717754987,0.4622240706144154,0.5153417778163674,4.021700568185445e-282,8.04340113637089e-281
single_turn,model_pair,length_to_header_density_diff,0.149278276368348,0.008459294466450102,0.1326816101935077,0.16587494254318833,3.8870531836045326e-62,6.098411217828641e-61
single_turn,model_pair,length_to_list_density_diff,0.1416790951420187,0.007879777520044096,0.12621940904752774,0.15713878123650968,3.4960398051674575e-64,5.943267668784678e-63
single_turn,model_pair,length_to_bold_density_diff,0.13741841042839267,0.008128340918273531,0.12147105674412115,0.1533657641126642,1.1301658606580079e-57,1.4692156188554103e-56
single_turn,model_pair,header_density_diff_to_choice,0.020915542726420596,0.010299790475614929,0.000707925545987375,0.04112315990685382,0.04250813274365313,0.21254066371826563
single_turn,model_pair,list_density_diff_to_choice,-0.011043380027163917,0.00994216334208925,-0.030549352623201735,0.008462592568873899,0.26689338329330187,0.8006801498799057
single_turn,model_pair,bold_density_diff_to_choice,0.05582016129643948,0.011868000433083649,0.03253580322947095,0.07910451936340801,2.855318949401513e-06,1.9987232645810592e-05
single_turn,model_pair,log_token_ratio_to_choice,0.4887829242153914,0.014305247653853591,0.4607168223908195,0.5168490260399632,3.128673143466691e-179,6.257346286933382e-178
alternative_format,HC0,length_to_header_density_diff,0.15400580056889468,0.00434943445633403,0.14548106568136243,0.16253053545642693,1.2753294308861898e-274,7.65197658531714e-274
alternative_format,HC0,length_to_list_density_diff,0.13479677802377119,0.005372475579541716,0.12426691938004847,0.1453266366674939,6.353759521441487e-139,3.176879760720744e-138
