model,scheme,via,estimate,ci_low,ci_high
full,HC0,header_density_diff,0.00428908818318811,0.0014184174300422138,0.007163722097954735
full,HC0,list_density_diff,-0.0017545984492142886,-0.004121907183523749,0.0005573924707804885
full,HC0,bold_density_diff,0.007525155735872108,0.00462431001828121,0.010447262047676813
full,prompt_first,header_density_diff,0.00428908818318811,0.001410736457257649,0.00717804510122869
full,prompt_first,list_density_diff,-0.0017545984492142886,-0.004109416051917502,0.0005729762572459025
full,prompt_first,bold_density_diff,0.007525155735872108,0.004678983776524662,0.010446911173562582
full,prompt_sequence,header_density_diff,0.00428908818318811,0.0013577480883004362,0.007188494955515762
full,prompt_sequence,list_density_diff,-0.0017545984492142886,-0.004101926097528868,0.0005779228098411471
full,prompt_sequence,bold_density_diff,0.007525155735872108,0.0046415261763465675,0.010448181633400855
full,model_pair,header_density_diff,0.00428908818318811,0.0013021898876751667,0.007383650874025632
full,model_pair,list_density_diff,-0.0017545984492142886,-0.004167363904751439,0.0006900823155814563
full,model_pair,bold_density_diff,0.007525155735872108,0.004451310436922808,0.010708524337062528
english,HC0,header_density_diff,0.0019866069274642566,-0.0021528279107861565,0.006166920648832961
english,HC0,list_density_diff,-0.0015716738926430046,-0.0046458688303973325,0.001426560667946664
english,HC0,bold_density_diff,0.010023722717688924,0.006289249382765042,0.013923216327515394
english,prompt_first,header_density_diff,0.0019866069274642566,-0.002139414746292082,0.006148903445771886
english,prompt_first,list_density_diff,-0.0015716738926430046,-0.004615034162754748,0.0014483448194188052
english,prompt_first,bold_density_diff,0.010023722717688924,0.006268705995343502,0.01391975134418792
english,prompt_sequence,header_density_diff,0.0019866069274642566,-0.002186110353977555,0.006159483637761366
english,prompt_sequence,list_density_diff,-0.0015716738926430046,-0.004615656289910777,0.001451747531910881
english,prompt_sequence,bold_density_diff,0.010023722717688924,0.00633126391205413,0.013908756883130508
english,model_pair,header_density_diff,0.0019866069274642566,-0.0021938390809510405,0.006290481361348957
english,model_pair,list_density_diff,-0.0015716738926430046,-0.004721712278927104,0.0016181730169630096
english,model_pair,bold_density_diff,0.010023722717688924,0.0059822951041170105,0.014390294257434556
single_turn,HC0,header_density_diff,0.0031222361675086047,0.0001518370293720921,0.00612860967877394
single_turn,HC0,list_density_diff,-0.0015646160895580257,-0.004165793427451885,0.0010361196942088797
single_turn,HC0,bold_density_diff,0.0076707178352131995,0.00461871666811113,0.01077770356905388
single_turn,prompt_first,header_density_diff,0.0031222361675086047,0.0001446387859956262,0.006107497485267145
single_turn,prompt_first,list_density_diff,-0.0015646160895580257,-0.0041749423915416915,0.0010279972754489541
single_turn,prompt_first,bold_density_diff,0.0076707178352131995,0.004624173829671867,0.010794329010567916
single_turn,prompt_sequence,header_density_diff,0.0031222361675086047,0.00013366662819611812,0.006101098429571212
single_turn,prompt_sequence,list_density_diff,-0.0015646160895580257,-0.00419293194282518,0.001048803290631068
single_turn,prompt_sequence,bold_density_diff,0.0076707178352131995,0.0046430090560025,0.010754757422161178
single_turn,model_pair,header_density_diff,0.0031222361675086047,0.000129895111897441,0.006265971404542083
single_turn,model_pair,list_density_diff,-0.0015646160895580257,-0.004302000024473662,0.0012224781311176724
single_turn,model_pair,bold_density_diff,0.0076707178352131995,0.004406347713926677,0.011079094993008428
alternative_format,HC0,header_density_diff,0.004591350654067777,0.0017025529626854927,0.007482573126656264
alternative_format,HC0,list_density_diff,-0.0017181581861380189,-0.004030755929122229,0.0005627821647817622
alternative_format,HC0,bold_density_diff,0.007710852913995154,0.004785321229402117,0.010670636513288773
alternative_format,prompt_first,header_density_diff,0.004591350654067777,0.0016880372256902313,0.007500703504448867
alternative_format,prompt_first,list_density_diff,-0.0017181581861380189,-0.0040021569597513415,0.0005778936183985842
alternative_format,prompt_first,bold_density_diff,0.007710852913995154,0.004808629557901661,0.010632744867239793
alternative_format,prompt_sequence,header_density_diff,0.004591350654067777,0.001705917658156614,0.007513951402836408
alternative_format,prompt_sequence,list_density_diff,-0.0017181581861380189,-0.004045207489653552,0.0006122947460184417
alternative_format,prompt_sequence,bold_density_diff,0.007710852913995154,0.004786926854159917,0.010644564667557027
alternative_format,model_pair,header_density_diff,0.004591350654067777,0.0016017853752065552,0.007717764296404688
alternative_format,model_pair,list_density_diff,-0.0017181581861380189,-0.0041048682063138985,0.000711907364236149
alternative_format,model_pair,bold_density_diff,0.007710852913995154,0.0046166618730206395,0.010916371398848945
