language,winner,n
aa,model_a,1
aa,tie,1
af,both_bad,1
af,model_a,6
af,model_b,2
af,tie,1
ak,model_b,1
ar,both_bad,43
ar,model_a,94
ar,model_b,96
ar,tie,40
as,model_a,1
as,model_b,1
as,tie,1
az,model_a,1
az,model_b,1
be,both_bad,3
be,model_a,2
be,model_b,1
be,tie,2
bg,both_bad,3
bg,model_a,10
bg,model_b,9
bg,tie,11
bh,model_a,1
bn,both_bad,12
bn,model_a,71
bn,model_b,58
bn,tie,24
bo,model_a,3
bo,model_b,2
bs,both_bad,1
bs,model_b,5
bs,tie,1
ca,both_bad,4
ca,model_a,8
ca,model_b,16
ca,tie,1
ceb,model_b,1
co,model_a,5
co,model_b,3
co,tie,1
crs,model_b,1
cs,both_bad,38
cs,model_a,144
cs,model_b,150
cs,tie,66
da,both_bad,13
da,model_a,31
da,model_b,22
da,tie,5
de,both_bad,351
de,model_a,1211
de,model_b,1257
de,tie,623
el,both_bad,5
el,model_a,26
el,model_b,27
el,tie,9
en,both_bad,6665
en,model_a,20843
en,model_b,21158
en,tie,9024
es,both_bad,127
es,model_a,489
es,model_b,497
es,tie,258
et,both_bad,1
et,model_a,5
et,model_b,7
et,tie,4
eu,model_a,1
eu,model_b,2
fa,both_bad,119
fa,model_a,491
fa,model_b,520
fa,tie,152
fi,both_bad,7
fi,model_a,27
fi,model_b,18
fi,tie,13
fr,both_bad,164
fr,model_a,643
fr,model_b,646
fr,tie,261
fy,model_b,1
gl,model_a,6
gl,model_b,8
gl,tie,2
gn,model_b,1
gn,tie,1
gu,both_bad,1
gu,model_a,1
gu,model_b,1
gv,both_bad,1
ha,both_bad,1
ha,model_a,1
ha,model_b,1
hi,both_bad,6
hi,model_a,8
hi,model_b,11
hi,tie,3
hr,both_bad,1
hr,model_a,4
hr,model_b,7
hr,tie,3
ht,model_b,2
hu,both_bad,15
hu,model_a,37
hu,model_b,56
hu,tie,20
hy,both_bad,1
hy,model_a,5
hy,model_b,3
hy,tie,1
ia,both_bad,2
ia,tie,1
id,both_bad,22
id,model_a,84
id,model_b,79
id,tie,29
ie,model_a,3
is,both_bad,2
is,model_a,1
is,model_b,1
it,both_bad,61
it,model_a,231
it,model_b,273
it,tie,122
iw,both_bad,19
iw,model_a,21
iw,model_b,19
iw,tie,11
ja,both_bad,233
ja,model_a,719
ja,model_b,749
ja,tie,254
ka,model_a,2
ka,model_b,1
kha,both_bad,1
kk,both_bad,1
kk,model_a,3
kk,model_b,3
kl,model_a,1
kl,model_b,1
km,model_a,1
km,model_b,1
kn,model_b,2
ko,both_bad,214
ko,model_a,748
ko,model_b,715
ko,tie,179
ku,both_bad,4
ku,model_a,3
ku,model_b,5
ku,tie,1
ky,model_a,1
la,both_bad,3
la,model_a,20
la,model_b,11
la,tie,7
lb,both_bad,1
lb,model_b,2
lb,tie,2
lg,model_a,1
ln,model_a,1
lt,both_bad,7
lt,model_a,6
lt,model_b,13
lt,tie,11
lv,both_bad,1
lv,model_a,4
lv,model_b,3
lv,tie,1
mk,both_bad,1
mk,model_a,3
mk,model_b,1
ml,model_a,10
ml,model_b,4
ml,tie,2
mr,both_bad,1
mr,model_b,1
mr,tie,1
ms,both_bad,7
ms,model_a,16
ms,model_b,18
ms,tie,7
mt,model_a,1
my,both_bad,1
my,model_a,5
my,model_b,3
my,tie,1
na,model_a,1
ne,both_bad,1
ne,model_a,1
ne,model_b,2
nl,both_bad,25
nl,model_a,50
nl,model_b,48
nl,tie,33
nn,both_bad,2
nn,model_a,5
nn,model_b,7
nn,tie,2
no,both_bad,2
no,model_a,12
no,model_b,15
no,tie,5
oc,model_a,3
oc,model_b,2
oc,tie,2
om,model_a,1
pl,both_bad,1195
pl,model_a,3866
pl,model_b,4178
pl,tie,1359
pt,both_bad,138
pt,model_a,459
pt,model_b,477
pt,tie,201
qu,tie,1
rm,both_bad,1
rn,model_a,1
ro,both_bad,4
ro,model_a,21
ro,model_b,29
ro,tie,13
ru,both_bad,1015
ru,model_a,2425
ru,model_b,2642
ru,tie,1298
rw,both_bad,1
rw,model_a,6
rw,model_b,10
rw,tie,4
sa,both_bad,1
sa,model_a,1
sco,both_bad,1
sco,model_a,8
sco,model_b,4
sd,model_b,1
si,both_bad,2
si,model_a,3
si,model_b,2
si,tie,1
sk,both_bad,8
sk,model_a,25
sk,model_b,22
sk,tie,16
sl,both_bad,3
sl,model_a,7
sl,model_b,7
sl,tie,1
sn,model_a,1
so,model_a,1
so,model_b,3
sq,model_a,1
sq,tie,1
sr,both_bad,11
sr,model_a,19
sr,model_b,23
sr,tie,8
sv,both_bad,11
sv,model_a,34
sv,model_b,28
sv,tie,12
sw,model_b,1
ta,model_b,3
th,both_bad,7
th,model_a,27
th,model_b,35
th,tie,11
tl,both_bad,1
tl,model_a,1
tl,model_b,2
tlh,model_a,1
tlh,model_b,1
tlh,tie,1
to,model_b,1
tr,both_bad,65
tr,model_a,182
tr,model_b,183
tr,tie,60
tt,model_a,1
tt,model_b,1
tt,tie,2
ug,model_a,1
ug,model_b,3
uk,both_bad,30
uk,model_a,84
uk,model_b,78
uk,tie,36
und,both_bad,1062
und,model_a,3422
und,model_b,3292
und,tie,1594
ur,model_a,5
ur,model_b,4
ur,tie,2
uz,model_a,2
uz,model_b,3
uz,tie,1
vi,both_bad,63
vi,model_a,198
vi,model_b,194
vi,tie,66
vo,model_b,4
vo,tie,1
war,model_a,1
war,model_b,1
wo,model_b,2
wo,tie,1
xh,both_bad,4
xh,model_a,2
xh,model_b,2
xh,tie,1
xx-Egyp,both_bad,1
xx-Glag,both_bad,1
xx-Qaai,both_bad,4
xx-Qaai,model_a,1
xx-Qaai,model_b,4
xx-Runr,both_bad,1
zh,both_bad,716
zh,model_a,1855
zh,model_b,1871
zh,tie,596
zh-Hant,both_bad,80
zh-Hant,model_a,247
zh-Hant,model_b,233
zh-Hant,tie,88
zzp,both_bad,1
zzp,model_b,2
