term,coefficient,robust_se,p_value
const,0.00393336495196178,0.03881806584938158,0.9192899266982636
log_token_ratio,0.460381634957777,0.0169335547628614,9.119423081478803e-163
header_density_diff,0.012366673222848696,0.01310799061957755,0.3454531395145415
list_density_diff,-0.012295891003642066,0.011984230583814112,0.3048888141432603
bold_density_diff,0.07837070706089322,0.01467045692330499,9.188772452075002e-08
log_user_tokens,0.02348765937205335,0.009872798985300114,0.017358385295859806
turns,-0.01980258496668163,0.010196901867656911,0.05213470762518237
cw,-0.017964949287635423,0.04137139026523955,0.6641170336634145
if,-0.030966727051804515,0.03184363575707869,0.3308207397311146
math,0.07902320615296791,0.04245242840057425,0.06268021221297175
code,0.024576581827345224,0.025681161376653074,0.3385729470390737
complexity,-0.015637564723517374,0.02598721116389441,0.5473467000935527
creativity,0.0013439497941331313,0.026614796608742924,0.9597268666748471
domain_knowledge,-0.014926325522632105,0.033952934690652345,0.6602137103071893
problem_solving,-0.026369128962530998,0.030933646235773438,0.39396900227357234
real_world,-0.05575197474970374,0.02901938405905762,0.05470678438181346
specificity,-0.013270219116118373,0.03089731134707572,0.6675635409391913
technical_accuracy,-0.009322235871199885,0.03025449985940787,0.7579855060689795
model:amazon.nova-pro-v1:0,-0.014436081781128327,0.086711009742326,0.8677752928381444
model:chatgpt-4o-latest-20250326,1.1061580849984336,0.08294961260785981,1.4427045643807622e-40
model:claude-3-5-haiku-20241022,0.08963285072034026,0.09053050636518997,0.322132820987876
model:claude-3-5-sonnet-20241022,0.5220275398192811,0.08798775411447995,2.9752724371203753e-09
model:claude-3-7-sonnet-20250219,0.6047023074001552,0.08785821651864059,5.872599366747639e-12
model:claude-3-7-sonnet-20250219-thinking-32k,0.6635785008258531,0.08809031012959727,4.9612654982431744e-14
model:claude-opus-4-20250514,0.851540763053258,0.08187700624190468,2.473016626493856e-25
model:claude-opus-4-20250514-thinking-16k,0.8966998364589781,0.08796793511210614,2.1202415940396213e-24
model:claude-sonnet-4-20250514,0.6390890248844002,0.08447461600034374,3.865051194973663e-14
model:claude-sonnet-4-20250514-thinking-32k,0.7568319167935148,0.08848423421443719,1.196217948763856e-17
model:command-a-03-2025,0.3487244492810038,0.08391657021190711,3.244223175124889e-05
model:deepseek-r1-0528,0.9642141842443258,0.08667050850002857,9.474729520533495e-29
model:deepseek-v3-0324,0.8214425146511442,0.08625905262291259,1.6829624474841529e-21
model:gemini-2.0-flash-001,0.4128797199326327,0.08522884882748621,1.2701673746036797e-06
model:gemini-2.0-flash-thinking-exp-01-21,0.44098560235204953,0.19209711431339008,0.02169653837911012
model:gemini-2.5-flash,0.8694248078841272,0.08073863797302962,4.8543691318685505e-27
model:gemini-2.5-flash-lite-preview-06-17-thinking,0.6274361644502362,0.08852923353531152,1.3672106252428437e-12
model:gemini-2.5-flash-preview-04-17,0.7893503477353085,0.08896429071660637,7.141592432119119e-19
model:gemini-2.5-pro,1.2461909732745067,0.08319507695389713,1.0050430874760083e-50
model:gemini-2.5-pro-preview-03-25,1.2043257751136551,0.11677149135518357,6.121357307564787e-25
model:gemini-2.5-pro-preview-05-06,0.9561236205161361,0.09767922822344287,1.2627489129477835e-22
model:gemma-3-27b-it,0.5205796069904707,0.08322837720597193,3.9794129632933493e-10
model:gemma-3n-e4b-it,0.1651511898259136,0.10487040458108624,0.11529980553824425
model:gpt-4.1-2025-04-14,0.9359831390305035,0.08525749204499757,4.859316584528128e-28
model:gpt-4.1-mini-2025-04-14,0.6863414147210553,0.08630156536452803,1.8230291404795246e-15
model:gpt-4o-2024-11-20,0.6296348522791857,0.1610855832555301,9.279498394828202e-05
model:gpt-4o-mini-2024-07-18,-0.03195377172934731,0.16500725583419407,0.8464493913113591
model:grok-3-mini-beta,0.53488891442253,0.08583458533533608,4.6162258259963833e-10
model:grok-3-mini-high,0.5171725610621821,0.10104545193601112,3.084374285352775e-07
model:grok-3-preview-02-24,0.890099442287676,0.0864485459109613,7.323008086100108e-25
model:grok-4-0709,1.1065618063377933,0.12282041331184253,2.0682460244123714e-19
model:hunyuan-turbos-20250416,0.6907185705162129,0.1227094819217485,1.8136963139003897e-08
model:kimi-k2-0711-preview,0.9143064905407283,0.10281811672115856,5.976805694086124e-19
model:llama-3.3-70b-instruct,0.09553224435875841,0.09003371826999833,0.2886572479015459
model:llama-4-maverick-03-26-experimental,0.5817908252778734,0.08707002650313232,2.3590806015009987e-11
model:llama-4-maverick-17b-128e-instruct,0.22086411659815952,0.08861101677986988,0.012684266564818567
model:llama-4-scout-17b-16e-instruct,0.28602377647023525,0.10369758252606452,0.005811187429133116
