term,coefficient,robust_se,p_value
const,-0.032371356612115224,0.07020301909862244,0.6447192535272729
log_token_ratio,0.48217165550719066,0.012489662089614051,0.0
header_density_diff,0.027827060994451563,0.009538380645261172,0.003529878083955904
list_density_diff,-0.012930266465516394,0.008778587813948718,0.14076926308574308
bold_density_diff,0.05411162284792143,0.010614236564772537,3.432190036179253e-07
log_user_tokens,0.006557130959068048,0.007701315206560002,0.3945305217160443
turns,-0.004416365990764502,0.007843750109619246,0.5734058296229307
cw,-0.03451954904785276,0.02992129109084962,0.2486320177434227
if,-0.0068722303361672295,0.024229918067959638,0.7766971492428861
math,0.043215590907957666,0.031205794744681964,0.16609592695659536
code,0.020355639650543732,0.019682524652260124,0.30104332350874574
complexity,-0.009858615363107606,0.019186860859342264,0.6073770230155697
creativity,0.012332801754023442,0.019856194962912514,0.5345298842354319
domain_knowledge,-0.044845495213797056,0.024488702138227757,0.06705982879182293
problem_solving,-0.03413002631286414,0.022458161474137223,0.12858237986635435
real_world,-0.041390718537308,0.02134049902199405,0.05243580651742391
specificity,0.006642936818381076,0.022210447828396995,0.7648708959496298
technical_accuracy,-0.00396843967962947,0.021579371872744047,0.854092152301184
language_ar,0.021123727028404756,0.1651758912824442,0.8982389844476164
language_bn,0.3216611211770383,0.20076728797249624,0.1091204496720631
language_cs,0.06605076300555189,0.14075568496683824,0.6388850709338305
language_de,0.06786021927354723,0.07699988296339871,0.37815390308520647
language_en,0.07529152824025066,0.0651565856198677,0.24786630152236933
language_es,0.08823248550701697,0.09311678544350811,0.3433603656793186
language_fa,0.04200965284046256,0.09326571374213895,0.6524005920873819
language_fr,0.07402264758155713,0.08691308266821139,0.394388445021123
language_id,0.17169848459793666,0.1757836965480567,0.32868797986693776
language_it,-0.07892452512075589,0.11138541569930131,0.47859046070201305
language_ja,0.040826715055459456,0.08456473880001551,0.6292473306847439
language_ko,0.15215591299885975,0.08398416862358715,0.07002925999018511
language_pl,0.008895432633927754,0.06834239092485561,0.8964399908050128
language_pt,0.05088231765850856,0.09465264148884238,0.5908746964244209
language_ru,0.009160086727304976,0.07062248097665234,0.8967998508472842
language_tr,0.03681344454451436,0.12728731403164945,0.7724165891664365
language_uk,0.1338787575136557,0.1778940877076128,0.4517049585182026
language_und,0.12513471956549832,0.06983639877271698,0.07316074051831169
language_vi,0.1348439223169259,0.12584790978903948,0.28395221628008915
language_zh,0.05313549618842992,0.0725157102249968,0.46371420693516774
language_zh-Hant,0.08141997695985966,0.11373076200459015,0.47405242279181936
model:amazon.nova-pro-v1:0,-0.09105679185899428,0.06247684365967275,0.14499257431875964
model:chatgpt-4o-latest-20250326,1.1983837248463434,0.060252926105850355,5.04533201306881e-88
model:claude-3-5-haiku-20241022,0.10393527633031556,0.06569231157313266,0.11361468682339868
model:claude-3-5-sonnet-20241022,0.4934670018223655,0.0637932093849297,1.0306566860195742e-14
model:claude-3-7-sonnet-20250219,0.5155322460836915,0.06365234144243449,5.532746964195609e-16
model:claude-3-7-sonnet-20250219-thinking-32k,0.5999495058472276,0.06337682079049727,2.8969084758817618e-21
model:claude-opus-4-20250514,0.8781665437515856,0.05850530839547077,6.311736946334928e-51
model:claude-opus-4-20250514-thinking-16k,0.915320552131495,0.0620281594032361,2.7927461842849096e-49
model:claude-sonnet-4-20250514,0.655682378441367,0.06013199691355561,1.1023716178898041e-27
model:claude-sonnet-4-20250514-thinking-32k,0.7469928956731743,0.06283122215886225,1.352065867202352e-32
model:command-a-03-2025,0.3550928283322032,0.060397418711186694,4.120757665595234e-09
model:deepseek-r1-0528,0.9832637925500463,0.06155145732867535,1.9188842332384896e-57
model:deepseek-v3-0324,0.7997587873069291,0.062168837580248264,7.148347459763849e-38
model:gemini-2.0-flash-001,0.4698529318638488,0.06229113276284568,4.5979516069351756e-14
model:gemini-2.0-flash-thinking-exp-01-21,0.5185304029875211,0.1537795473124096,0.000746495258471711
model:gemini-2.5-flash,0.9245363702763292,0.05799776477899286,3.295908462494264e-57
model:gemini-2.5-flash-lite-preview-06-17-thinking,0.7147832849234094,0.06291819555964706,6.575369087690284e-30
model:gemini-2.5-flash-preview-04-17,0.8126898787130614,0.06440981882770086,1.6913848578424332e-36
model:gemini-2.5-pro,1.36440395817606,0.059699252524353166,1.3145846197899986e-115
model:gemini-2.5-pro-preview-03-25,1.2206420430290117,0.09206484416780172,4.0285560949335434e-40
model:gemini-2.5-pro-preview-05-06,1.090929701888331,0.07112531267864722,4.252323816289964e-53
model:gemma-3-27b-it,0.5436781826200517,0.05990019316478645,1.1222414505561874e-19
model:gemma-3n-e4b-it,0.16213661953746808,0.07374304751526246,0.02790140210950295
model:gpt-4.1-2025-04-14,0.9408921761018255,0.06173879752772309,1.9220828239922125e-52
model:gpt-4.1-mini-2025-04-14,0.658576261066556,0.062304840610188525,4.0950554430745104e-26
model:gpt-4o-2024-11-20,0.6299219396727779,0.1238039144712402,3.617419345158404e-07
model:gpt-4o-mini-2024-07-18,-0.10033074277052884,0.13226883447646323,0.4481298526455758
model:grok-3-mini-beta,0.4892831113722224,0.061607847222448706,1.991139664348994e-15
model:grok-3-mini-high,0.42546327010548096,0.07250440076519074,4.4081018624793206e-09
model:grok-3-preview-02-24,0.922982269581604,0.06235440365580426,1.4177157758009949e-49
model:grok-4-0709,1.1656464758068439,0.0891642067978609,4.695632145567628e-39
model:hunyuan-turbos-20250416,0.7714946739970358,0.08608598442445255,3.191079990360169e-19
model:kimi-k2-0711-preview,0.9985349673770151,0.07338729585172371,3.6700747854915454e-42
model:llama-3.3-70b-instruct,0.009042932363360009,0.06614941723327929,0.8912642606526933
model:llama-4-maverick-03-26-experimental,0.6656304951437533,0.06307493694029541,4.919487818267329e-26
model:llama-4-maverick-17b-128e-instruct,0.17555033197044048,0.06417289002943603,0.0062269688872882804
model:llama-4-scout-17b-16e-instruct,0.16687211976356278,0.0741840834263038,0.024484965814596436
model:magistral-medium-2506,-0.026499376814955147,0.0797976772780298,0.7398272984964653
model:minimax-m1,0.6625472854397952,0.06313077862833719,9.123421807067893e-26
model:mistral-medium-2505,0.7143090901253721,0.05844306138252556,2.36280230867361e-34
model:mistral-small-2506,0.4032327927137418,0.07708925059563665,1.6884507841914022e-07
model:mistral-small-3.1-24b-instruct-2503,-0.13608566127342084,0.07235673380097485,0.06000455371726107
model:o3-2025-04-16,1.2687265898637816,0.059718985438812267,3.671283155637524e-100
model:o3-mini,0.375697541837247,0.06115367078908755,8.072296035312778e-10
model:o4-mini-2025-04-16,0.9674283727131714,0.061911346511428086,4.840589223650684e-55
model:qwen-max-2025-01-25,0.6541481594546688,0.06548573376359339,1.6999833393747093e-23
model:qwen3-235b-a22b,0.6945755922962371,0.06369382873475855,1.0919897288911388e-27
model:qwen3-235b-a22b-instruct-2507,0.6163065313171757,0.12400097764520418,6.689257607888972e-07
model:qwen3-235b-a22b-no-thinking,0.859162222423742,0.058365031021279316,4.7615305306855275e-49
model:qwen3-30b-a3b,0.31777883427941706,0.06317149457179035,4.894193105522944e-07
model:qwq-32b,0.3607466202446352,0.06616175670660793,4.966808485719416e-08
