term,coefficient,robust_se,p_value
const,-0.02249401529893638,0.07534897348631389,0.7652978092209362
log_token_ratio,0.49688313524259803,0.013539295958041169,7.484082469886892e-295
header_density_diff,0.021088596719616427,0.010220693549440924,0.039081907122668
list_density_diff,-0.011235820406185697,0.009516606748014878,0.2377401779756153
bold_density_diff,0.05642766061940405,0.011416781897315815,7.711961550360201e-07
log_user_tokens,-0.0006094855034659046,0.008474426080377398,0.9426651247034903
cw,-0.03186917688512211,0.0319728132997083,0.3188816939936542
if,-0.014294079519493151,0.027538633940601222,0.6037220362495255
math,0.05473097833469123,0.033983550567664965,0.10728572771872388
code,0.018027959172298023,0.021731318731947263,0.4067738997533408
complexity,-0.016605959502105794,0.02073424916758865,0.4231923507628744
creativity,0.023051891179242563,0.021616642525198244,0.2862448769597946
domain_knowledge,-0.046980178568747075,0.026091479960164716,0.07176679702008369
problem_solving,-0.0223889067076913,0.023919394160598805,0.34926557270820524
real_world,-0.04162134498769709,0.02302228955024128,0.07062647637006812
specificity,0.002714507607754654,0.02390487450673551,0.9095909067732277
technical_accuracy,-3.42921369726948e-05,0.023207013051196712,0.9988209961949878
language_ar,0.0008183343853783216,0.18755042661061883,0.996518620022966
language_bn,0.25220507050176294,0.22718171639301543,0.26693574461979686
language_cs,0.04415333539796091,0.1554211308800503,0.7763426610133155
language_de,0.08250353434410022,0.08288601191940283,0.31954880852144874
language_en,0.07346599876034102,0.06985275456711469,0.29292501182964703
language_es,0.0845366783917096,0.09988602372164558,0.3973678952445373
language_fa,0.03793649831712751,0.1016378819492331,0.708961222640974
language_fr,0.06207933680925525,0.09320826297017544,0.5053930400525286
language_id,0.12107495321864599,0.18374504499695787,0.5099413118946172
language_it,-0.09792924230622138,0.11825658810563155,0.40760926438834755
language_ja,0.047553774376362296,0.09012610236095334,0.5977520150988032
language_ko,0.1807040035497957,0.09043661556708439,0.045702701233342545
language_pl,0.01669005395271954,0.07331561618844225,0.819920955450361
language_pt,0.06682012667646196,0.10130503046683931,0.5095148085757804
language_ru,0.030262870490248575,0.07630434570894155,0.6916569722605397
language_tr,-0.025824541025573182,0.13597740155208277,0.8493734743590198
language_uk,0.25346917918807427,0.18906139284887968,0.180027203776566
language_und,0.12176290540871933,0.07469217282630738,0.10306001107255927
language_vi,0.22956922179887335,0.14049616784493807,0.10226111699726051
language_zh,0.03621033577743608,0.07784780759141582,0.6418293027189167
language_zh-Hant,0.1265454458967667,0.12237071653325611,0.3010822046096733
model:amazon.nova-pro-v1:0,-0.11164937555968259,0.06747973937122527,0.09801348827538088
model:chatgpt-4o-latest-20250326,1.1134669359128215,0.06517241554511412,1.921343281738554e-65
model:claude-3-5-haiku-20241022,0.046560759111322826,0.07106384946090064,0.5123414860302733
model:claude-3-5-sonnet-20241022,0.4056769988650704,0.06916807351737204,4.488882652248535e-09
model:claude-3-7-sonnet-20250219,0.42576804679479385,0.06895192188819443,6.622466293227026e-10
model:claude-3-7-sonnet-20250219-thinking-32k,0.5293398516461039,0.06849979955492626,1.095830088568931e-14
model:claude-opus-4-20250514,0.7938981591731221,0.06319425374928532,3.3805672087261234e-36
model:claude-opus-4-20250514-thinking-16k,0.8647131889428991,0.06696578370494853,3.813747172530478e-38
model:claude-sonnet-4-20250514,0.5676897604426605,0.06504051344251138,2.586469790726689e-18
model:claude-sonnet-4-20250514-thinking-32k,0.6825015138689695,0.06799972394845073,1.0499659443810236e-23
model:command-a-03-2025,0.3135930571037221,0.06531464209045225,1.5766462540604472e-06
model:deepseek-r1-0528,0.9676561262311758,0.06647913549585514,5.366487785075742e-48
model:deepseek-v3-0324,0.7696575119964154,0.06718177194299442,2.1854589661417253e-30
model:gemini-2.0-flash-001,0.44672822978172144,0.06753174014331408,3.713372528129027e-11
model:gemini-2.0-flash-thinking-exp-01-21,0.4881431849905225,0.16225930470122576,0.002626150051287057
model:gemini-2.5-flash,0.9127745999739427,0.06271716384838476,5.522705541342058e-48
model:gemini-2.5-flash-lite-preview-06-17-thinking,0.6720019692461869,0.06787035588032009,4.11067331610839e-23
model:gemini-2.5-flash-preview-04-17,0.7762040007284107,0.06961550411930954,7.170897829056762e-29
model:gemini-2.5-pro,1.3244482592117142,0.06446251540375503,8.353454404727086e-94
model:gemini-2.5-pro-preview-03-25,1.1790595437590181,0.0987790086773718,7.651933739477644e-33
model:gemini-2.5-pro-preview-05-06,1.067356943689017,0.07663458942816229,4.289311929372592e-44
model:gemma-3-27b-it,0.5103479859125232,0.06485593141234304,3.576342714776188e-15
model:gemma-3n-e4b-it,0.160663209259214,0.07931081468031273,0.042791280828835106
model:gpt-4.1-2025-04-14,0.8765278169203716,0.0668035390930156,2.496891810379299e-39
model:gpt-4.1-mini-2025-04-14,0.6082260239578877,0.0675916714194734,2.287495058677992e-19
model:gpt-4o-2024-11-20,0.6608259488940198,0.1336168711379175,7.587950522865681e-07
model:gpt-4o-mini-2024-07-18,-0.14265281822321435,0.14221483345847022,0.315822388882925
model:grok-3-mini-beta,0.4512194450626991,0.06653393212696983,1.1869235046354508e-11
model:grok-3-mini-high,0.41931668709312986,0.07876230958809266,1.0160812941549147e-07
model:grok-3-preview-02-24,0.8991893011413158,0.06741240133551998,1.3796571071433622e-40
model:grok-4-0709,1.1266679069965273,0.09546496900158748,3.8160202047703426e-32
model:hunyuan-turbos-20250416,0.7144139616650376,0.09294105134779788,1.5092806156730795e-14
model:kimi-k2-0711-preview,0.947294769415179,0.07976343429935374,1.571645880533982e-32
model:llama-3.3-70b-instruct,-0.0359030669910032,0.0715913322498495,0.6160191415497842
model:llama-4-maverick-03-26-experimental,0.6267889242535929,0.06822552802137662,4.0389484779483746e-20
model:llama-4-maverick-17b-128e-instruct,0.13534049133268503,0.0695745481993053,0.05174385678324236
model:llama-4-scout-17b-16e-instruct,0.12140104319587786,0.08069056344050915,0.13244600771244355
model:magistral-medium-2506,-0.08832826796025647,0.0851226651900005,0.2994290126112734
model:minimax-m1,0.6572596785785324,0.06794455787640592,3.9089252584041137e-22
model:mistral-medium-2505,0.6839705414696641,0.06324233776126933,2.9205795868471617e-27
model:mistral-small-2506,0.3548219171155008,0.08329651909523278,2.0466040716830027e-05
model:mistral-small-3.1-24b-instruct-2503,-0.15153918842994651,0.07799031393017058,0.05200994861438599
model:o3-2025-04-16,1.2589060522252182,0.06448403169423284,7.033907259208301e-85
model:o3-mini,0.3297283049389351,0.06615970717815753,6.233994155165785e-07
model:o4-mini-2025-04-16,0.9438930179576539,0.06716083198108176,7.257852244953339e-45
model:qwen-max-2025-01-25,0.6411046711177495,0.07071978707581274,1.2412352545815167e-19
model:qwen3-235b-a22b,0.6474240962389157,0.06872915070652173,4.513696117733707e-21
model:qwen3-235b-a22b-instruct-2507,0.5829648870918447,0.13518410552069207,1.6150841247267576e-05
