分箱左边界,分箱右边界,分箱中心值,胜率,样本数量,样本占比
-2953.831,-2658.447,-2787.21875,0.09375,32,0.002472187886279357
-2658.447,-2363.064,-2502.3076923076924,0.2564102564102564,39,0.0030129789864029666
-2363.064,-2067.681,-2194.796875,0.21875,64,0.004944375772558714
-2067.681,-1772.298,-1906.6822429906542,0.2616822429906542,107,0.008266378244746601
-1772.298,-1476.915,-1615.2585034013605,0.2585034013605442,147,0.011356613102595798
-1476.915,-1181.532,-1319.2618025751074,0.23605150214592274,233,0.01800061804697157
-1181.532,-886.149,-1019.9808510638297,0.2936170212765957,470,0.03631025957972806
-886.149,-590.766,-725.4494382022472,0.3441011235955056,712,0.0550061804697157
-590.766,-295.383,-428.46280344557556,0.375097885669538,1277,0.0986557478368356
-295.383,-9.09e-13,-107.273293768546,0.45578635014836794,3370,0.2603522867737948
-9.09e-13,295.383,105.95281359906214,0.5436694021101993,3412,0.26359703337453644
295.383,590.766,428.46280344557556,0.624902114330462,1277,0.0986557478368356
590.766,886.149,725.4494382022472,0.6558988764044944,712,0.0550061804697157
886.149,1181.532,1019.9808510638297,0.7063829787234043,470,0.03631025957972806
1181.532,1476.915,1319.2618025751074,0.7639484978540773,233,0.01800061804697157
1476.915,1772.298,1615.2585034013605,0.7414965986394558,147,0.011356613102595798
1772.298,2067.681,1906.6822429906542,0.7383177570093458,107,0.008266378244746601
2067.681,2363.064,2194.796875,0.78125,64,0.004944375772558714
2363.064,2658.447,2502.3076923076924,0.7435897435897436,39,0.0030129789864029666
2658.447,2953.83,2787.21875,0.90625,32,0.002472187886279357
