分箱左边界,分箱右边界,分箱中心值,胜率,样本数量,样本占比
-7059.261,-6353.334,-6627.636363636364,0.2727272727272727,44,0.0018169805087545426
-6353.334,-5647.408,-5998.0,0.28125,64,0.002642880740006607
-5647.408,-4941.482,-5285.704918032787,0.30327868852459017,122,0.005037991410637595
-4941.482,-4235.556,-4588.270676691729,0.2857142857142857,133,0.005492236537826231
-4235.556,-3529.63,-3850.177272727273,0.2636363636363636,220,0.009084902543772711
-3529.63,-2823.704,-3145.772334293948,0.25936599423631124,347,0.014329369012223323
-2823.704,-2117.778,-2439.4545454545455,0.27586206896551724,638,0.026346217376940866
-2117.778,-1411.852,-1726.3856317093312,0.3088356729975227,1211,0.05000825900231252
-1411.852,-705.926,-1015.49341563786,0.3596707818930041,2430,0.10034687809712586
-705.926,-1e-11,-265.584084957812,0.44850160023276114,6874,0.28386190948133466
-1e-11,705.926,263.6662333911034,0.5511265164644714,6924,0.2859266600594648
705.926,1411.852,1015.49341563786,0.6403292181069958,2430,0.10034687809712586
1411.852,2117.778,1726.3856317093312,0.6911643270024773,1211,0.05000825900231252
2117.778,2823.704,2439.4545454545455,0.7241379310344828,638,0.026346217376940866
2823.704,3529.63,3145.772334293948,0.7406340057636888,347,0.014329369012223323
3529.63,4235.556,3850.177272727273,0.7363636363636363,220,0.009084902543772711
4235.556,4941.482,4588.270676691729,0.7142857142857143,133,0.005492236537826231
4941.482,5647.408,5285.704918032787,0.6967213114754098,122,0.005037991410637595
5647.408,6353.334,5998.0,0.71875,64,0.002642880740006607
6353.334,7059.26,6627.636363636364,0.7272727272727273,44,0.0018169805087545426
