分箱左边界,分箱右边界,分箱中心值,胜率,样本数量,样本占比
-5335.661,-4802.094,-5061.257142857143,0.34285714285714286,105,0.0025052490933384236
-4802.094,-4268.528,-4529.35593220339,0.2796610169491525,118,0.002815422790608895
-4268.528,-3734.962,-3994.5421052631577,0.3,190,0.004533307883183814
-3734.962,-3201.396,-3441.265306122449,0.336734693877551,294,0.007014697461347585
-3201.396,-2667.83,-2914.176220806794,0.2802547770700637,471,0.011237831647260927
-2667.83,-2134.264,-2383.5258397932816,0.27906976744186046,774,0.018467264745180376
-2134.264,-1600.698,-1839.7128353879623,0.29731689630166785,1379,0.03290227142584463
-1600.698,-1067.132,-1306.8778146917682,0.3399778516057586,2709,0.06463542660813132
-1067.132,-533.566,-774.0135344160866,0.37529002320185617,5172,0.12340141248329833
-533.566,1.82e-12,-236.52147616606868,0.4519733470015377,9755,0.23274957052872686
1.82e-12,533.566,237.0560978115689,0.5481352101099353,9733,0.23222466119488452
533.566,1067.132,774.0135344160866,0.6247099767981439,5172,0.12340141248329833
1067.132,1600.698,1306.8778146917682,0.6600221483942414,2709,0.06463542660813132
1600.698,2134.264,1839.7128353879623,0.7026831036983321,1379,0.03290227142584463
2134.264,2667.83,2383.5258397932816,0.7209302325581395,774,0.018467264745180376
2667.83,3201.396,2914.176220806794,0.7197452229299363,471,0.011237831647260927
3201.396,3734.962,3441.265306122449,0.6632653061224489,294,0.007014697461347585
3734.962,4268.528,3994.5421052631577,0.7,190,0.004533307883183814
4268.528,4802.094,4529.35593220339,0.7203389830508474,118,0.002815422790608895
4802.094,5335.66,5061.257142857143,0.6571428571428571,105,0.0025052490933384236
