分箱左边界,分箱右边界,分箱中心值,胜率,样本数量,样本占比
-0.001,12.927,5.740026089675982,0.4494450254714753,59282,0.379137886927603
12.927,25.854,18.771575919212363,0.47787292456530267,30596,0.1956766436428754
25.854,38.782,31.821840816136987,0.5063485345466088,18902,0.12088769506267588
38.782,51.709,44.8511222596206,0.5386164129822019,12417,0.07941289332310053
51.709,64.636,57.804908844807734,0.5515787073976974,8773,0.05610770017907393
64.636,77.563,70.70731567075387,0.5760477162140951,6371,0.04074571501662829
77.563,90.49,83.7259199092437,0.5809360240446544,4658,0.029790227679713482
90.49,103.417,96.62918205210455,0.5895221646516984,3474,0.02221795855717575
103.417,116.345,109.5855634468084,0.5797736400146039,2739,0.017517267843438218
116.345,129.272,122.64095632959521,0.60107421875,2048,0.01309797902276797
129.272,142.199,135.42911254794072,0.5982199618563255,1573,0.010060117677155282
142.199,155.126,148.37730381935418,0.5923616523772408,1283,0.008205423381939116
155.126,168.053,161.28324086626267,0.6101010101010101,990,0.006331542594013815
168.053,180.98,174.37421837546606,0.5946291560102301,782,0.005001279099513942
180.98,193.908,187.1803847663549,0.6569230769230769,650,0.0041570734203121
193.908,206.835,200.15867897010776,0.6046065259117083,521,0.003332054233819391
206.835,219.762,213.35320613003512,0.6153846153846154,429,0.0027436684574059862
219.762,232.689,225.9365112391689,0.6122448979591837,343,0.0021936556664108467
232.689,245.616,238.8570704749008,0.6204620462046204,303,0.0019378357636224098
245.616,258.544,251.78039412168334,0.6106194690265486,226,0.0014453824507546687
