list_count,win_rate,sample_count,sample_proportion
0,0.43960604070912673,38075,0.24107255919969608
2,0.4748201438848921,2641,0.016721539825250094
3,0.4669296116504854,6592,0.041737368620995315
4,0.45515835685167766,6378,0.040382423705204507
5,0.4742268041237113,5626,0.03562112194504242
6,0.49097856081511354,4711,0.02982778270229201
7,0.4914147521160822,4135,0.02618082816259339
8,0.497223507635354,4322,0.027364822084335823
9,0.4886547811993517,3702,0.023439280739521336
10,0.4864567275930412,4541,0.02875142459161707
11,0.5025610123531185,3319,0.021014309231353678
12,0.49326871297792135,3714,0.02351525895909839
13,0.519496855345912,3180,0.020134228187919462
14,0.5092936802973977,3228,0.020438141066227683
15,0.5042886719905354,3381,0.021406863365835128
16,0.5195840554592721,2885,0.018266430289983537
17,0.5239028213166145,2552,0.016158034696720273
18,0.5253807106598984,2758,0.017462327466126377
19,0.5213350232361639,2367,0.014986703811574015
20,0.5101749375223135,2801,0.017734582752944157
21,0.5357466063348416,2210,0.013992655438774218
22,0.5297450424929179,2118,0.013410155755350133
23,0.5508893280632411,2024,0.012814993035329873
24,0.5319557904853436,2081,0.013175889578320882
25,0.5523861766319254,1823,0.011542357857414209
26,0.5491183879093199,1588,0.010054451057363556
27,0.5441361916771753,1586,0.01004178802076738
28,0.5429467084639499,1595,0.010098771685450172
29,0.5604551920341394,1406,0.008902114727111561
30,0.532404603270745,1651,0.010453336710143092
31,0.5566343042071198,1236,0.007825756616436622
32,0.5775933609958506,1205,0.007629479549195897
33,0.5558272208638957,1227,0.0077687729517538304
34,0.5530932594644506,1083,0.0068570343168291754
35,0.560077519379845,1032,0.006534126883626694
36,0.5852272727272727,1056,0.006686083322780803
