分箱左边界,分箱右边界,分箱中心值,胜率,样本数量,样本占比
-3749.991,-3374.991,-3556.4871794871797,0.3076923076923077,390,0.0025171358866127097
-3374.991,-2999.992,-3176.137614678899,0.26055045871559634,545,0.0035175360466767353
-2999.992,-2624.993,-2799.9414012738853,0.2573248407643312,785,0.0050665427461307104
-2624.993,-2249.994,-2425.4496124031007,0.2652885443583118,1161,0.007493319908608605
-2249.994,-1874.995,-2047.8311758360303,0.2621359223300971,1854,0.011966076753281958
-1874.995,-1499.996,-1670.6978233034572,0.26312419974391804,3124,0.02016290387122591
-1499.996,-1124.997,-1295.8612052730696,0.28832391713747646,5310,0.0342717732254192
-1124.997,-749.998,-921.0303779219441,0.315518484193183,9711,0.06267668357665647
-749.998,-374.999,-542.6260257230985,0.35401268695803995,17183,0.11090242548632356
-374.999,-4.55e-12,-149.11061851792144,0.44196356601644365,37218,0.24021221391782518
-4.55e-12,374.999,147.61927435229026,0.5574559770176092,37594,0.2426389910803031
374.999,749.998,542.6260257230985,0.6459873130419601,17183,0.11090242548632356
749.998,1124.997,921.0303779219441,0.684481515806817,9711,0.06267668357665647
1124.997,1499.996,1295.8612052730696,0.7116760828625236,5310,0.0342717732254192
1499.996,1874.995,1670.6978233034572,0.7368758002560819,3124,0.02016290387122591
1874.995,2249.994,2047.8311758360303,0.7378640776699029,1854,0.011966076753281958
2249.994,2624.993,2425.4496124031007,0.7347114556416882,1161,0.007493319908608605
2624.993,2999.992,2799.9414012738853,0.7426751592356687,785,0.0050665427461307104
2999.992,3374.991,3176.137614678899,0.7394495412844037,545,0.0035175360466767353
3374.991,3749.99,3556.4871794871797,0.6923076923076923,390,0.0025171358866127097
