subset,n,feature,feature_label,or_f0,or_f3,confound_pct,r2_f0,r2_f3
无类别,41737,bold_density_diff,粗体密度差,1.1431981649803222,1.0785388002382943,0.45153766286679153,0.0577177592601299,0.09816649729272153
无类别,41737,header_density_diff,标题密度差,1.1246436195275842,1.0781412613840753,0.37308253980234996,0.0577177592601299,0.09816649729272153
无类别,41737,list_density_diff,列表密度差,0.9668777751659097,1.0557259782480954,2.6824346349687445,0.0577177592601299,0.09816649729272153
全量,78970,bold_density_diff,粗体密度差,1.1570447167950972,1.0855034809178927,0.455546912606728,0.040537818206240694,0.08503929180154013
全量,78970,header_density_diff,标题密度差,1.1133008813388336,1.0606472502082331,0.46472393249207306,0.040537818206240694,0.08503929180154013
全量,78970,list_density_diff,列表密度差,0.9397905599503309,1.0248731711576955,1.4131108201168563,0.040537818206240694,0.08503929180154013
创意+指令,1280,bold_density_diff,粗体密度差,1.0180301204096234,1.0624332631271984,-2.4627202541517907,0.041079105622696566,0.0985343078193952
创意+指令,1280,header_density_diff,标题密度差,1.062337232794336,1.0593322203584399,0.04820573999186338,0.041079105622696566,0.0985343078193952
创意+指令,1280,list_density_diff,列表密度差,0.9054773168607088,0.9552396622896167,0.526459298193818,0.041079105622696566,0.0985343078193952
仅代码,15088,bold_density_diff,粗体密度差,1.1032964603110973,1.089471505001662,0.13383764814204538,0.039568779916636876,0.08054101289768412
仅代码,15088,header_density_diff,标题密度差,1.1716467031005253,1.0525307902213932,0.6939598065531828,0.039568779916636876,0.08054101289768412
仅代码,15088,list_density_diff,列表密度差,0.8781203814360176,0.9641249535413211,0.7056517990344237,0.039568779916636876,0.08054101289768412
创意+指令+代码,113,bold_density_diff,粗体密度差,1.1247735257576057,1.8854833069093515,-6.096724257271988,0.039763791273106364,0.2232033599843487
创意+指令+代码,113,header_density_diff,标题密度差,1.0489709467590442,1.0396837796742733,0.18964646794490952,0.039763791273106364,0.2232033599843487
创意+指令+代码,113,list_density_diff,列表密度差,0.8417618857161651,0.9640513693810208,0.7728193944823089,0.039763791273106364,0.2232033599843487
指令+数学,848,bold_density_diff,粗体密度差,1.306600170216152,1.0389699029374921,0.8728966689417736,0.021838971095819004,0.1515587906623923
指令+数学,848,header_density_diff,标题密度差,0.9583881990204436,1.0394263653985627,1.9474803894677042,0.021838971095819004,0.1515587906623923
指令+数学,848,list_density_diff,列表密度差,0.8835057033313745,1.0410186981377931,1.352109067231618,0.021838971095819004,0.1515587906623923
仅指令遵循,5098,bold_density_diff,粗体密度差,1.1299378486519478,1.0568893084701543,0.5621806189623912,0.031523076195574595,0.07397575157406866
仅指令遵循,5098,header_density_diff,标题密度差,1.0297238854605002,1.0392403505426389,-0.320162217513084,0.031523076195574595,0.07397575157406866
仅指令遵循,5098,list_density_diff,列表密度差,0.8899321158221227,0.9927493438948389,0.9341255974954192,0.031523076195574595,0.07397575157406866
仅创意写作,4931,bold_density_diff,粗体密度差,1.0351689172717768,1.002444882920185,0.9304817119818727,0.041467431153680345,0.08013625634446275
仅创意写作,4931,header_density_diff,标题密度差,1.0363417532767256,1.0161724959138128,0.5549885612103882,0.041467431153680345,0.08013625634446275
仅创意写作,4931,list_density_diff,列表密度差,1.0177426139422945,1.0438221560903074,-1.4698816213232824,0.041467431153680345,0.08013625634446275
数学+代码,928,bold_density_diff,粗体密度差,1.1525785165465787,1.1500628262761203,0.016487840669825952,0.02116165811499604,0.08334537631378569
数学+代码,928,header_density_diff,标题密度差,1.0755173857204656,0.9890612920693042,1.1448501934532858,0.02116165811499604,0.08334537631378569
数学+代码,928,list_density_diff,列表密度差,0.914781793411351,1.0119514779099088,1.1402455929118407,0.02116165811499604,0.08334537631378569
指令+代码,4412,bold_density_diff,粗体密度差,1.0592703140102346,1.0773054374743343,-0.3042859442415874,0.03660756413545707,0.08061167184077966
指令+代码,4412,header_density_diff,标题密度差,1.0224668656043148,0.9667368262721648,2.4805435842126085,0.03660756413545707,0.08061167184077966
指令+代码,4412,list_density_diff,列表密度差,0.8342838468704807,0.9254608613874585,0.5501999219455469,0.03660756413545707,0.08061167184077966
仅数学,3663,bold_density_diff,粗体密度差,1.2022183620908768,1.0304799963407023,0.8492718661868865,0.027909773949634564,0.07881329203173448
仅数学,3663,header_density_diff,标题密度差,0.9857941233910109,0.9519793835392266,-2.380334616618256,0.027909773949634564,0.07881329203173448
仅数学,3663,list_density_diff,列表密度差,1.010798242221576,1.0644702257974623,-4.97043708360646,0.027909773949634564,0.07881329203173448
创意+代码,248,bold_density_diff,粗体密度差,0.9811825382990457,0.9743091321261116,-0.36526744585246035,0.022964994192981925,0.09779335840822034
创意+代码,248,header_density_diff,标题密度差,0.9462547685231886,0.8178228907026136,-2.389642286236824,0.022964994192981925,0.09779335840822034
创意+代码,248,list_density_diff,列表密度差,0.9702651447690402,1.0596864689083247,3.007289709155185,0.022964994192981925,0.09779335840822034
指令+数学+代码,591,bold_density_diff,粗体密度差,1.307171145680638,,,0.02788120817682338,
指令+数学+代码,591,header_density_diff,标题密度差,1.0745227236891768,,,0.02788120817682338,
指令+数学+代码,591,list_density_diff,列表密度差,0.7746423642483948,,,0.02788120817682338,
