subset,n,longer_win_rate,a_longer_rate,crude_or,crude_or_ci_low,crude_or_ci_high,crude_p,adjusted_or,adjusted_or_ci_low,adjusted_or_ci_high,adjusted_p,ipw_ate,ipw_ci_low,ipw_ci_high,ipw_ess,bootstrap_success
指令+代码,4410,0.6206,0.4837,2.6717,2.3656,3.0175,0.0,2.2345,1.9241,2.5949,0.0,0.2078,0.1791,0.2516,1960.3937,30
无类别,41610,0.6391,0.498,3.1358,3.0128,3.2638,0.0,2.0853,1.9812,2.1949,0.0,0.1656,0.1466,0.1816,10360.2378,30
仅创意写作,4912,0.6179,0.5061,2.6169,2.3323,2.9363,0.0,1.9939,1.7328,2.2942,0.0,0.1755,0.1513,0.2118,2212.5749,30
全量,78783,0.6236,0.498,2.7446,2.6667,2.8249,0.0,1.9103,1.8417,1.9815,0.0,0.1489,0.1351,0.1614,20591.9997,30
仅代码,15081,0.6098,0.497,2.4428,2.288,2.608,0.0,1.7755,1.6254,1.9395,0.0,0.1562,0.1133,0.19,2414.1221,30
创意+指令,1278,0.5892,0.5063,2.058,1.6468,2.5719,0.0,1.6733,1.2809,2.1861,0.00016,0.0713,-0.0237,0.1233,692.2089,30
仅指令遵循,5081,0.6097,0.4987,2.4423,2.1818,2.734,0.0,1.6149,1.4048,1.8564,0.0,0.0937,0.0562,0.1335,1652.1755,30
创意+代码,248,0.5565,0.5605,1.605,0.9679,2.6613,0.06671,1.3469,0.7036,2.5783,0.368759,0.0734,-0.047,0.1769,160.5653,30
仅数学,3654,0.5843,0.5041,1.976,1.7324,2.254,0.0,1.3403,1.134,1.584,0.000591,0.0717,0.0227,0.1122,1394.0402,30
数学+代码,928,0.57,0.4914,1.7568,1.3547,2.2784,2.2e-05,1.1222,0.7944,1.5855,0.513008,0.0145,-0.1085,0.1059,200.2736,30
指令+数学,846,0.5839,0.4846,1.968,1.497,2.5871,1e-06,1.0656,0.7388,1.537,0.733784,0.0966,0.0165,0.2096,191.0092,30
创意+指令+代码,113,0.5398,0.5487,1.3853,0.6585,2.9143,0.390371,0.6878,0.2373,1.9939,0.490713,0.0852,-0.1491,0.3121,81.2462,30
指令+数学+代码,589,0.5823,0.4907,1.9487,1.4041,2.7045,6.6e-05,,,,,0.117,0.008,0.2204,199.2443,30
