subset,n,treated_n,control_n,matched_pairs,match_rate,caliper,mean_distance,max_distance,overlap_low,overlap_high,common_support_share,max_abs_smd_before,max_abs_smd_after,mean_abs_smd_before,mean_abs_smd_after,matched_ate,wilcoxon_stat,wilcoxon_p
创意+指令,1278,647,631,643,0.9938176197836167,0.2593646525956192,0.009929055851832888,0.2473575904497376,0.05299640982684142,0.9634097753445867,0.9906103286384976,1.1304953197043126,0.06820040666418006,0.24764857337980245,0.0299246621487023,0.09642301710730944,118542.5,0.000498069144093887
指令+代码,4410,2133,2277,2099,0.9840600093764651,0.32187466379365176,0.01005849360816916,0.3005864086602914,0.015214649441198373,0.9641476003133331,0.982766439909297,1.2880926530711918,0.08338326138650519,0.2709790546607491,0.030520906814408458,0.16626965221534057,1375940.0,1.113426866268035e-24
指令+数学+代码,589,289,300,274,0.9480968858131488,0.3558376821637777,0.03399142659511994,0.355091556185549,0.023194945547762972,0.9551635871368082,0.9405772495755518,1.4081553637237398,0.14195982209616725,0.3053571671494434,0.056406870005656605,0.19343065693430656,24084.5,1.794162017818737e-05
全量,78783,39237,39546,39237,1.0,0.3713207822309818,0.000749389265431179,0.05377072247751791,0.01,0.99,1.0,1.4731967701746864,0.17648647138072884,0.25017837696308065,0.05966127608629174,0.16005301118841914,477043361.5,0.0
仅创意写作,4912,2486,2426,2471,0.9939662107803701,0.31736275377444123,0.01026738875379101,0.30626088627303316,0.016859622359880477,0.9762751608240205,0.99185667752443,1.248603500011381,0.21650164722005263,0.299919171896651,0.07170613972777594,0.16592472683124243,1899870.5,9.100471253747523e-28
仅数学,3654,1842,1812,1834,0.995656894679696,0.34662756716161874,0.009351852157547955,0.3262944673019108,0.02082902572384006,0.9838586992029918,0.986863711001642,1.325099989782318,0.17875657113850754,0.30802203853538984,0.07323318371358248,0.06924754634678298,931009.5,2.2037865174840227e-05
仅代码,15081,7496,7585,7496,1.0,0.4551324440883245,0.004413014915690777,0.07249633042977521,0.01,0.99,1.0,1.7310780337511864,0.18292712894485244,0.3306483084023606,0.07615326251102746,0.19463713980789754,18127283.0,3.3802666315197828e-112
仅指令遵循,5081,2534,2547,2529,0.9980268350434096,0.3379439242812481,0.00869010945203983,0.33089089726864396,0.015826848012467688,0.9797219590855935,0.9903562290887621,1.39393536048605,0.18039282993588648,0.29879332818164944,0.08282201865273696,0.13009094503756424,1915103.5,3.537170076181823e-19
无类别,41610,20723,20887,20723,1.0,0.38681369780935787,0.0013505465574539318,0.08076319315094871,0.01119733182143926,0.99,0.9953857245854362,1.4803809654626632,0.29136508978289255,0.3449147182297206,0.09148770865850074,0.17661535491965447,135775698.0,1.008878533230318e-254
创意+代码,248,139,109,118,0.8489208633093526,0.33234570834052374,0.03897617462984161,0.31388502360900716,0.07827481401991257,0.910946688202745,0.8346774193548387,1.2992047322682878,0.30559262117373626,0.3037285464797851,0.09695900425718432,-0.008474576271186418,3464.0,0.5513796734221573
指令+数学,846,410,436,408,0.9951219512195122,0.34662204319317524,0.03364899794825394,0.3377332636428849,0.045937667722611326,0.9853583484799304,0.9479905437352246,1.3579934271004332,0.20858131702440624,0.30224839568056117,0.10857490389746507,0.06372549019607854,45754.5,0.04012967668686554
数学+代码,928,456,472,456,1.0,0.40168936387210147,0.03350382400968462,0.31569983740515584,0.026512949740190198,0.986615521226647,0.9536637931034483,1.5735804482856894,0.2506385109845468,0.3057119185656013,0.11416156779889342,0.0635964912280702,57173.0,0.0312894392001246
创意+指令+代码,113,62,51,47,0.7580645161290323,0.34740719258239394,0.08848160004970572,0.3314740157748899,0.17544858850615105,0.8655816831844371,0.6902654867256637,1.1613096259037836,0.4827311694572377,0.31897915199178645,0.22368497379054197,0.06382978723404253,613.5,0.2934657324480969
