variable,layer,type,n,missing,missing_pct,mean,std,min,p25,median,p75,max,positive_rate
bold_density_diff,中介层（主模型）,连续,78970,0,0.0,6.632945889071542e-05,0.01836678203431253,-0.3333333333333333,-0.00885564055679009,0.0,0.009075261598821764,0.2912621359223301,
header_density_diff,中介层（主模型）,连续,78970,0,0.0,-8.994666715602881e-06,0.005231720832529934,-0.07450968559531712,-0.001832096649213167,0.0,0.0017958028947212242,0.05426356589147287,
token_diff_ab,中介层（主模型）,连续,78970,0,0.0,-3.62321134608079,1576.611492206985,-69195.0,-411.0,-1.0,408.0,53276.0,
list_density_diff,中介层（扩展模型）,连续,78970,0,0.0,-3.81555021651054e-05,0.01837402176526173,-0.2811668402175171,-0.00799539997503341,0.0,0.007986046837849241,0.22514619883040937,
ability_diff,外生层,连续,78970,0,0.0,-0.000518158064771772,0.1723003243942916,-0.46303468826417593,-0.12261158949406548,-0.0002794717544153391,0.12180200662206231,0.46303468826417593,
code_bool,外生层,二值,78970,0,0.0,0.2707863745726225,0.44436878199015456,0.0,0.0,0.0,1.0,1.0,0.2707863745726225
complexity,外生层,二值,78970,0,0.0,0.4578447511713309,0.49822292027977455,0.0,0.0,0.0,1.0,1.0,0.4578447511713309
creative_writing_bool,外生层,二值,78970,0,0.0,0.08363935671774092,0.2768479461388585,0.0,0.0,0.0,0.0,1.0,0.08363935671774092
creativity,外生层,二值,78970,0,0.0,0.5126123844497911,0.49984406722833596,0.0,0.0,1.0,1.0,1.0,0.5126123844497911
domain_knowledge,外生层,二值,78970,0,0.0,0.810953526655692,0.3915480119073184,0.0,1.0,1.0,1.0,1.0,0.810953526655692
format_tendency_diff,外生层,连续,78970,0,0.0,0.017628781053280695,30.43517367868631,-84.70726962003941,-22.186390130462982,-0.03183921866734174,22.186390130462982,84.70726962003941,
if_bool,外生层,二值,78970,0,0.0,0.15646448018234774,0.363297423545403,0.0,0.0,0.0,0.0,1.0,0.15646448018234774
math_bool,外生层,二值,78970,0,0.0,0.07677599088261365,0.2662373671974266,0.0,0.0,0.0,0.0,1.0,0.07677599088261365
problem_solving,外生层,二值,78970,0,0.0,0.6607065974420666,0.4734725211565888,0.0,0.0,1.0,1.0,1.0,0.6607065974420666
real_world,外生层,二值,78970,0,0.0,0.567506648094213,0.4954250302056457,0.0,0.0,1.0,1.0,1.0,0.567506648094213
specificity,外生层,二值,78970,0,0.0,0.5704191465113334,0.4950194408393275,0.0,0.0,1.0,1.0,1.0,0.5704191465113334
technical_accuracy,外生层,二值,78970,0,0.0,0.6006838039761935,0.4897609713384699,0.0,0.0,1.0,1.0,1.0,0.6006838039761935
turns,外生层,连续,78970,0,0.0,1.2667468658984424,1.0373245441290742,1.0,1.0,1.0,1.0,64.0,
user_tokens,外生层,连续,78970,0,0.0,132.20312777003926,629.8516880502939,1.0,13.0,29.0,74.0,54835.0,
verbosity_diff,外生层,连续,78970,0,0.0,0.31990842039417217,689.1638897498964,-1678.172940057685,-469.4380499034014,0.0,469.21765772358003,1678.172940057685,
winner_a,结果层,二值,78970,0,0.0,0.4944662530074712,0.49997254230175825,0.0,0.0,0.0,1.0,1.0,0.4944662530074712
