effect,estimate,boot_mean,boot_std,ci_low,ci_high,successful_bootstrap_n,exclude_zero
长度直接效应,0.6073,0.2979,0.4737,-0.069,1.5056,46,False
标题密度直接效应,0.0173,0.0171,0.0065,0.0086,0.0263,46,True
粗体密度直接效应,0.0215,0.0222,0.0074,0.0096,0.0361,46,True
能力直接效应,0.1549,0.149,0.0204,0.1217,0.1913,46,True
能力→长度→偏好,-0.0132,-0.0051,0.0154,-0.0496,0.0107,46,False
能力→标题密度→偏好,0.0061,0.0062,0.0026,0.003,0.0119,46,True
能力→粗体密度→偏好,0.0031,0.0034,0.0014,0.0015,0.0065,46,True
能力总间接效应,-0.004,0.0045,0.0164,-0.0412,0.0271,46,False
能力总效应,0.1509,0.1534,0.0112,0.1392,0.1691,46,True
词冗性→长度→偏好,0.3049,0.1469,0.2414,-0.0349,0.7841,46,False
格式倾向直接效应,-0.0236,-0.033,0.0279,-0.0785,0.0083,46,False
格式倾向→标题密度→偏好,0.0113,0.0112,0.0044,0.0054,0.0178,46,True
格式倾向→粗体密度→偏好,0.0178,0.0184,0.0062,0.008,0.0305,46,True
格式倾向总间接效应,0.0292,0.0296,0.0091,0.0186,0.0461,46,True
