subset,n,or0,or3,wald_r_adj,ame_adj,r2_m0,r2_m3,confound_pct
创意+指令+代码,113,2.211210771327537,1.8377620281083678,0.10089935202352673,0.15212522099805587,0.03439162995581613,0.19482890314283274,0.3083268016266516
创意+指令,1280,2.1493277744159136,1.8334313245973068,0.13338992220052415,0.1515439830835553,0.038894521959618955,0.09721431947252235,0.27485322886166635
指令+代码,4412,1.826276485764312,1.547107901753898,0.11824115713476323,0.10904300340328593,0.032048474765833834,0.07923662226622619,0.33786340144023447
无类别,41737,2.2213456875338955,1.5404184728142838,0.10362421687650425,0.10800517721224087,0.0512783498080428,0.09590569617423361,0.5575221017847285
创意+代码,248,1.4731581959763593,1.4738282486449163,0.13817366409417028,0.09690905980959423,0.021970638730248404,0.09154752773396391,-0.0014161282088210891
仅创意写作,4931,1.816294166695367,1.4735322819648506,0.11558046610824811,0.09690603774144915,0.04083299017547626,0.07978183790465265,0.41989995606379443
仅代码,15088,1.7040809847988214,1.3665970738358124,0.09027886824063862,0.07807125998569153,0.031375981089650895,0.0792595157570839,0.4793254160378142
全量,78970,1.9044701225889598,1.355134479447736,0.08174232553910646,0.07596586790273933,0.033903334429918,0.08342237750240689,0.6073563177176076
仅指令遵循,5098,1.7288595510447455,1.2593635989829117,0.06914068839258602,0.05759196605095945,0.027036960624964745,0.07332677229409446,0.6441514711426357
仅数学,3663,1.612846028137465,1.1765777914487934,0.050028061748404434,0.04065141826269318,0.022349454254660173,0.07771506561130237,0.7118725041174846
数学+代码,928,1.385030310267639,1.1535479421209396,0.05078397339715296,0.03570644333344215,0.015726522327936254,0.08108109040497491,0.6012055725841254
指令+数学,848,1.3509568122087245,1.012407281119667,0.0051772236171364,0.003082461038293208,0.009248696524708389,0.15098539483929696,0.9646472708662286
指令+数学+代码,591,1.2845311211400756,,,,0.01014478299007171,,
