变量,层级,类型,样本量,缺失值个数,缺失率（%）,均值,标准差,最小值,P25,中位数,P75,最大值,正值比例（%）
粗体密度差,中介层（主模型）,连续,"78,970",0,0.00,0.000,0.018,-0.333,-0.009,0.000,0.009,0.291,
标题密度差,中介层（主模型）,连续,"78,970",0,0.00,-0.000,0.005,-0.074,-0.002,0.000,0.002,0.054,
回答长度差,中介层（主模型）,连续,"78,970",0,0.00,-3.623,1576.611,-69195.000,-411.000,-1.000,408.000,53276.000,
列表密度差,中介层（扩展模型）,连续,"78,970",0,0.00,-0.000,0.018,-0.281,-0.008,0.000,0.008,0.225,
能力差,外生层,连续,"78,970",0,0.00,-0.001,0.172,-0.463,-0.123,-0.000,0.122,0.463,
代码任务,外生层,二值,"78,970",0,0.00,0.271,0.444,0.000,0.000,0.000,1.000,1.000,27.08
complexity,外生层,二值,"78,970",0,0.00,0.458,0.498,0.000,0.000,0.000,1.000,1.000,45.78
创意写作任务,外生层,二值,"78,970",0,0.00,0.084,0.277,0.000,0.000,0.000,0.000,1.000,8.36
creativity,外生层,二值,"78,970",0,0.00,0.513,0.500,0.000,0.000,1.000,1.000,1.000,51.26
domain_knowledge,外生层,二值,"78,970",0,0.00,0.811,0.392,0.000,1.000,1.000,1.000,1.000,81.10
格式倾向差,外生层,连续,"78,970",0,0.00,0.018,30.435,-84.707,-22.186,-0.032,22.186,84.707,
指令遵循任务,外生层,二值,"78,970",0,0.00,0.157,0.363,0.000,0.000,0.000,0.000,1.000,15.65
数学任务,外生层,二值,"78,970",0,0.00,0.077,0.266,0.000,0.000,0.000,0.000,1.000,7.68
problem_solving,外生层,二值,"78,970",0,0.00,0.661,0.473,0.000,0.000,1.000,1.000,1.000,66.07
real_world,外生层,二值,"78,970",0,0.00,0.568,0.495,0.000,0.000,1.000,1.000,1.000,56.75
specificity,外生层,二值,"78,970",0,0.00,0.570,0.495,0.000,0.000,1.000,1.000,1.000,57.04
technical_accuracy,外生层,二值,"78,970",0,0.00,0.601,0.490,0.000,0.000,1.000,1.000,1.000,60.07
对话轮数,外生层,连续,"78,970",0,0.00,1.267,1.037,1.000,1.000,1.000,1.000,64.000,
用户输入长度,外生层,连续,"78,970",0,0.00,132.203,629.852,1.000,13.000,29.000,74.000,54835.000,
冗长度差,外生层,连续,"78,970",0,0.00,0.320,689.164,-1678.173,-469.438,0.000,469.218,1678.173,
A 模型获胜,结果层,二值,"78,970",0,0.00,0.494,0.500,0.000,0.000,0.000,1.000,1.000,49.45
