模型,因变量,关系,自变量,估计值,标准误,z 值,p 值
主模型,回答长度差,回归,能力差,-0.022,0.001,-20.428,<0.001
主模型,回答长度差,回归,冗长度差,0.502,0.002,331.072,<0.001
主模型,回答长度差,回归,格式倾向差,-0.027,0.001,-21.874,<0.001
主模型,回答长度差,回归,用户输入长度,-0.020,0.001,-27.786,<0.001
主模型,回答长度差,回归,对话轮数,0.019,0.001,26.906,<0.001
主模型,回答长度差,回归,创意写作任务,0.005,0.003,1.752,0.080
主模型,回答长度差,回归,指令遵循任务,-0.003,0.002,-1.424,0.154
主模型,回答长度差,回归,数学任务,-0.032,0.003,-11.261,<0.001
主模型,回答长度差,回归,代码任务,0.001,0.002,0.475,0.635
主模型,回答长度差,回归,complexity,0.006,0.002,3.626,<0.001
主模型,回答长度差,回归,creativity,0.002,0.002,0.962,0.336
主模型,回答长度差,回归,domain_knowledge,-0.005,0.002,-2.230,0.026
主模型,回答长度差,回归,problem_solving,-0.013,0.002,-6.659,<0.001
主模型,回答长度差,回归,real_world,0.009,0.002,4.864,<0.001
主模型,回答长度差,回归,specificity,0.005,0.002,2.355,0.019
主模型,回答长度差,回归,technical_accuracy,0.003,0.002,1.719,0.086
主模型,标题密度差,回归,能力差,0.350,0.005,70.150,<0.001
主模型,标题密度差,回归,冗长度差,-0.806,0.011,-73.560,<0.001
主模型,标题密度差,回归,格式倾向差,0.655,0.006,113.537,<0.001
主模型,标题密度差,回归,用户输入长度,-0.002,0.003,-0.632,0.527
主模型,标题密度差,回归,对话轮数,0.000,0.003,0.125,0.901
主模型,标题密度差,回归,创意写作任务,-0.009,0.013,-0.699,0.485
主模型,标题密度差,回归,指令遵循任务,0.002,0.010,0.180,0.857
主模型,标题密度差,回归,数学任务,0.002,0.013,0.112,0.911
主模型,标题密度差,回归,代码任务,-0.008,0.008,-0.984,0.325
主模型,标题密度差,回归,complexity,0.001,0.008,0.167,0.867
主模型,标题密度差,回归,creativity,-0.014,0.008,-1.724,0.085
主模型,标题密度差,回归,domain_knowledge,-0.002,0.010,-0.211,0.833
主模型,标题密度差,回归,problem_solving,0.018,0.009,1.928,0.054
主模型,标题密度差,回归,real_world,-0.000,0.009,-0.025,0.980
主模型,标题密度差,回归,specificity,-0.000,0.009,-0.027,0.978
主模型,标题密度差,回归,technical_accuracy,0.013,0.009,1.396,0.163
主模型,标题密度差,回归,回答长度差,-0.005,0.017,-0.298,0.766
主模型,粗体密度差,回归,能力差,0.145,0.004,31.992,<0.001
主模型,粗体密度差,回归,冗长度差,-0.483,0.010,-48.413,<0.001
主模型,粗体密度差,回归,格式倾向差,0.830,0.005,157.875,<0.001
主模型,粗体密度差,回归,用户输入长度,-0.004,0.003,-1.255,0.209
主模型,粗体密度差,回归,对话轮数,0.002,0.003,0.682,0.495
主模型,粗体密度差,回归,创意写作任务,0.001,0.012,0.077,0.938
主模型,粗体密度差,回归,指令遵循任务,-0.001,0.009,-0.108,0.914
主模型,粗体密度差,回归,数学任务,-0.040,0.012,-3.329,<0.001
主模型,粗体密度差,回归,代码任务,-0.012,0.007,-1.597,0.110
主模型,粗体密度差,回归,complexity,0.005,0.007,0.743,0.457
主模型,粗体密度差,回归,creativity,-0.009,0.008,-1.167,0.243
主模型,粗体密度差,回归,domain_knowledge,0.010,0.009,1.057,0.291
主模型,粗体密度差,回归,problem_solving,-0.003,0.009,-0.398,0.691
主模型,粗体密度差,回归,real_world,0.005,0.008,0.565,0.572
主模型,粗体密度差,回归,specificity,0.001,0.009,0.107,0.915
主模型,粗体密度差,回归,technical_accuracy,0.003,0.008,0.306,0.760
主模型,粗体密度差,回归,回答长度差,-0.015,0.015,-1.020,0.308
主模型,A 模型获胜,回归,能力差,0.155,0.003,59.591,<0.001
主模型,A 模型获胜,回归,冗长度差,-0.261,0.006,-45.365,<0.001
主模型,A 模型获胜,回归,格式倾向差,-0.024,0.004,-6.841,<0.001
主模型,A 模型获胜,回归,用户输入长度,0.014,0.002,8.594,<0.001
主模型,A 模型获胜,回归,对话轮数,-0.012,0.002,-7.288,<0.001
主模型,A 模型获胜,回归,创意写作任务,-0.010,0.006,-1.590,0.112
主模型,A 模型获胜,回归,指令遵循任务,0.000,0.005,0.065,0.948
主模型,A 模型获胜,回归,数学任务,0.028,0.007,4.241,<0.001
主模型,A 模型获胜,回归,代码任务,0.005,0.004,1.250,0.211
主模型,A 模型获胜,回归,complexity,-0.007,0.004,-1.659,0.097
主模型,A 模型获胜,回归,creativity,0.001,0.004,0.167,0.867
主模型,A 模型获胜,回归,domain_knowledge,-0.008,0.005,-1.592,0.111
主模型,A 模型获胜,回归,problem_solving,0.001,0.005,0.237,0.813
主模型,A 模型获胜,回归,real_world,-0.017,0.004,-3.795,<0.001
主模型,A 模型获胜,回归,specificity,0.002,0.005,0.445,0.657
主模型,A 模型获胜,回归,technical_accuracy,-0.004,0.005,-0.930,0.352
主模型,A 模型获胜,回归,回答长度差,0.607,0.008,72.417,<0.001
主模型,A 模型获胜,回归,标题密度差,0.017,0.002,9.481,<0.001
主模型,A 模型获胜,回归,粗体密度差,0.021,0.002,10.722,<0.001
主模型,标题密度差,协方差,粗体密度差,0.142,0.003,51.958,<0.001
主模型,标题密度差,协方差,标题密度差,0.826,0.004,198.708,<0.001
主模型,粗体密度差,协方差,粗体密度差,0.686,0.004,198.708,<0.001
主模型,回答长度差,协方差,回答长度差,0.038,0.000,198.708,<0.001
主模型,A 模型获胜,协方差,A 模型获胜,0.210,0.001,198.708,<0.001
扩展模型,回答长度差,回归,能力差,-0.007,0.002,-3.545,<0.001
扩展模型,回答长度差,回归,冗长度差,0.473,0.003,164.200,<0.001
扩展模型,回答长度差,回归,格式倾向差,-0.009,0.002,-3.766,<0.001
扩展模型,回答长度差,回归,用户输入长度,-0.017,0.001,-12.692,<0.001
扩展模型,回答长度差,回归,对话轮数,0.019,0.001,14.025,<0.001
扩展模型,回答长度差,回归,创意写作任务,0.005,0.005,0.936,0.349
扩展模型,回答长度差,回归,指令遵循任务,-0.004,0.004,-0.984,0.325
扩展模型,回答长度差,回归,数学任务,-0.028,0.005,-5.250,<0.001
扩展模型,回答长度差,回归,代码任务,0.003,0.003,0.816,0.415
扩展模型,回答长度差,回归,complexity,0.005,0.003,1.459,0.145
扩展模型,回答长度差,回归,creativity,0.002,0.003,0.453,0.650
扩展模型,回答长度差,回归,domain_knowledge,-0.005,0.004,-1.127,0.260
扩展模型,回答长度差,回归,problem_solving,-0.013,0.004,-3.429,<0.001
扩展模型,回答长度差,回归,real_world,0.009,0.004,2.322,0.020
