效应,点估计,Bootstrap 均值,95% 置信区间,成功重采样数,95% CI 排除 0
长度直接效应,0.607,0.298,"[-0.069, 1.506]",46,否
标题密度直接效应,0.017,0.017,"[0.009, 0.026]",46,是
粗体密度直接效应,0.021,0.022,"[0.010, 0.036]",46,是
能力直接效应,0.155,0.149,"[0.122, 0.191]",46,是
能力→长度→偏好,-0.013,-0.005,"[-0.050, 0.011]",46,否
能力→标题密度→偏好,0.006,0.006,"[0.003, 0.012]",46,是
能力→粗体密度→偏好,0.003,0.003,"[0.002, 0.006]",46,是
能力总间接效应,-0.004,0.004,"[-0.041, 0.027]",46,否
能力总效应,0.151,0.153,"[0.139, 0.169]",46,是
词冗性→长度→偏好,0.305,0.147,"[-0.035, 0.784]",46,否
格式倾向直接效应,-0.024,-0.033,"[-0.079, 0.008]",46,否
格式倾向→标题密度→偏好,0.011,0.011,"[0.005, 0.018]",46,是
格式倾向→粗体密度→偏好,0.018,0.018,"[0.008, 0.030]",46,是
格式倾向总间接效应,0.029,0.030,"[0.019, 0.046]",46,是
